natural_query	sql_query	result	from_to_where	after_froM	after_from
What is the full name of the team with the abbreviation 'PHI'?	SELECT full_name FROM team WHERE abbreviation = 'PHI';	Philadelphia 76ers	team	team	team
List all teams based in Texas.	SELECT full_name FROM team WHERE state = 'Texas';	Dallas Mavericks, Houston Rockets, San Antonio Spurs	team	team	team
Which team has the nickname 'Celtics'?	SELECT full_name FROM team WHERE nickname = 'Celtics';	Boston Celtics	team	team	team
Which team was founded most recently?	SELECT full_name FROM team ORDER BY year_founded DESC LIMIT 1;	New Orleans Pelicans		team	team
What are the nicknames of teams based in Florida?	SELECT nickname FROM team WHERE state = 'Florida';	Heat, Magic	team	team	team
List all teams located in New York.	SELECT full_name FROM team WHERE state = 'New York';	Brooklyn Nets, New York Knicks	team	team	team
What is the year the team nicknamed 'Nuggets' was founded?	SELECT year_founded FROM team WHERE nickname = 'Nuggets';	1976.0	team	team	team
Which team abbreviation belongs to the team based in Phoenix?	SELECT abbreviation FROM team WHERE city = 'Phoenix';	PHX	team	team	team
What is the nickname of the team founded in 1946?	SELECT nickname FROM team WHERE year_founded = 1946;	Celtics, Warriors, Knicks	team	team	team
Which team is located in the state of Indiana?	SELECT full_name FROM team WHERE state = 'Indiana';	Indiana Pacers	team	team	team
Which teams were founded before 1979?	SELECT full_name FROM team WHERE year_founded < 1979;	Atlanta Hawks, Boston Celtics, Cleveland Cavaliers, Chicago Bulls, Denver Nuggets, Golden State Warriors, Houston Rockets, Los Angeles Clippers, Los Angeles Lakers, Milwaukee Bucks, Brooklyn Nets, New York Knicks, Indiana Pacers, Philadelphia 76ers, Phoenix Suns, Portland Trail Blazers, Sacramento Kings, San Antonio Spurs, Oklahoma City Thunder, Utah Jazz, Washington Wizards, Detroit Pistons	team	team	team
In what year was the Indiana Pacers founded?	SELECT year_founded FROM team WHERE full_name = 'Indiana Pacers';	1976.0	team	team	team
What team has the abbreviation 'IND'?	SELECT full_name FROM team WHERE abbreviation = 'IND';	Indiana Pacers	team	team	team
Which team is located in the state of Minnesota?	SELECT full_name FROM team WHERE state = 'Minnesota';	Minnesota Timberwolves	team	team	team
What is the nickname of the team based in Detroit?	SELECT nickname FROM team WHERE city = 'Detroit';	Pistons	team	team	team
Which team has the earliest founding year among all teams located in the Midwest?	SELECT full_name FROM team WHERE state IN ('Illinois', 'Ohio', 'Wisconsin', 'Michigan', 'Indiana', 'Minnesota') ORDER BY year_founded ASC LIMIT 1;	Detroit Pistons	team	team	team
Which teams from Northern states were founded in 1974?	SELECT full_name FROM team WHERE year_founded = 1974 AND state IN ('Wisconsin', 'Minnesota', 'Michigan');		team	team	team
List the nicknames of teams based in cities that start with the letter 'C'.	SELECT nickname FROM team WHERE city LIKE 'C%';	Cavaliers, Bulls, Hornets	team	team	team
Which cities in the Midwest had teams founded in the 1970s?	SELECT city FROM team WHERE state IN ('Illinois', 'Ohio', 'Wisconsin', 'Michigan', 'Indiana', 'Minnesota') AND year_founded BETWEEN 1970 AND 1979;	Cleveland, Indiana	team	team	team
Which team located in Chicago has a nickname that starts with the letter 'B'?	SELECT full_name FROM team WHERE city = 'Chicago' AND nickname LIKE 'B%';	Chicago Bulls	team	team	team
Which team located in Cleveland has an abbreviation that includes the letter 'C'?	SELECT full_name FROM team WHERE city = 'Cleveland' AND abbreviation LIKE '%C%';	Cleveland Cavaliers	team	team	team
What is the year the Milwaukee team was founded?	SELECT year_founded FROM team WHERE city = 'Milwaukee';	1968.0	team	team	team
Which team from the Midwest has the nickname 'Bucks'?	SELECT full_name FROM team WHERE nickname = 'Bucks' AND state IN ('Illinois', 'Ohio', 'Wisconsin', 'Michigan', 'Indiana', 'Minnesota');	Milwaukee Bucks	team	team	team
Which cities host teams with abbreviations that start with 'C'?	SELECT city FROM team WHERE abbreviation LIKE 'C%';	Cleveland, Chicago, Charlotte	team	team	team
List all team abbreviations from teams located in Ohio or Michigan.	SELECT abbreviation FROM team WHERE state IN ('Ohio', 'Michigan');	CLE, DET	team	team	team
Which teams based in Northern states were founded after 1975?	SELECT full_name FROM team WHERE state IN ('Illinois', 'Ohio', 'Wisconsin', 'Michigan', 'Indiana', 'Minnesota') AND year_founded > 1975;	Minnesota Timberwolves, Indiana Pacers	team	team	team
Which team based in Indiana was founded before 1980?	SELECT full_name FROM team WHERE state = 'Indiana' AND year_founded < 1980;	Indiana Pacers	team	team	team
Which team founded in the 70s has a nickname starting with 'C'?	SELECT full_name FROM team WHERE year_founded BETWEEN 1970 AND 1979 AND nickname LIKE 'C%';	Cleveland Cavaliers, Los Angeles Clippers	team	team	team
