natural_query	sql_query	result	from_to_where	after_froM	after_from
Which team had the fewest turnovers in the 2018 season on average?	SELECT team_name, AVG(turnovers) AS avg_turnovers FROM (     SELECT team_name_home AS team_name, tov_home AS turnovers     FROM game     WHERE season_id = '22018'          UNION ALL          SELECT team_name_away AS team_name, tov_away AS turnovers     FROM game     WHERE season_id = '22018' ) GROUP BY team_name ORDER BY avg_turnovers ASC LIMIT 1;	San Antonio Spurs | 12.0975609756098	(     SELECT team_name_home AS team_name, tov_home AS turnovers     FROM game	game	game
What was the field goal percentage for the Toronto Raptors in their championship season of 2019?	SELECT AVG(fg_pct) AS avg_fg_percentage FROM (     SELECT game_id, fg_pct_home AS fg_pct     FROM game     WHERE team_name_home = 'Toronto Raptors'     AND season_id = '22019'          UNION ALL          SELECT game_id, fg_pct_away AS fg_pct     FROM game     WHERE team_name_away = 'Toronto Raptors'     AND season_id = '22019' );	0.4587083333	(     SELECT game_id, fg_pct_home AS fg_pct     FROM game	game	game
 How many times did the Golden State Warriors score more than 120 points but still lose the game?	SELECT COUNT(*) AS high_scoring_losses FROM game WHERE ((team_name_home = 'Golden State Warriors' AND pts_home > 120 AND wl_home = 'L') OR (team_name_away = 'Golden State Warriors' AND pts_away > 120 AND wl_away = 'L'));	123	game	game	game
Which team had the most assists in a game where they also had fewer than 10 turnovers during the 2021 season?	SELECT team_name, assists, turnovers, game_date FROM (     SELECT          team_name_home AS team_name,          ast_home AS assists,          tov_home AS turnovers,         game_date     FROM game     WHERE season_id = '22021'     AND tov_home < 10          UNION ALL          SELECT          team_name_away AS team_name,          ast_away AS assists,          tov_away AS turnovers,         game_date     FROM game     WHERE season_id = '22021'     AND tov_away < 10 ) ORDER BY assists DESC LIMIT 1;	Phoenix Suns | 40.0 | 7.0 | 2022-02-12 00:00:00	(     SELECT          team_name_home AS team_name,          ast_home AS assists,          tov_home AS turnovers,         game_date     FROM game	game	game
What's the highest number of blocks recorded by the New York Knicks in any game?	SELECT MAX(blocks) AS max_blocks FROM (     SELECT blk_home AS blocks     FROM game     WHERE team_name_home = 'New York Knicks'          UNION ALL          SELECT blk_away AS blocks     FROM game     WHERE team_name_away = 'New York Knicks' );	15	(     SELECT blk_home AS blocks     FROM game	game	game
What was the average free throw percentage for the Indiana Pacers in games where they attempted at least 25 free throws?	SELECT AVG(ft_pct) AS avg_ft_percentage FROM (     SELECT ft_pct_home AS ft_pct     FROM game     WHERE team_name_home = 'Indiana Pacers'     AND fta_home >= 25          UNION ALL          SELECT ft_pct_away AS ft_pct     FROM game     WHERE team_name_away = 'Indiana Pacers'     AND fta_away >= 25 );	0.7685965404	(     SELECT ft_pct_home AS ft_pct     FROM game	game	game
What was the average margin of victory in games between the Boston Celtics and New York Knicks?	SELECT AVG(ABS(plus_minus_home)) AS avg_victory_margin FROM game WHERE (team_name_home = 'Boston Celtics' AND team_name_away = 'New York Knicks') OR (team_name_home = 'New York Knicks' AND team_name_away = 'Boston Celtics');	11.05436893	game	game	game
How many games did the Orlando Magic play in the 2010 season where both teams scored more than 100 points?	SELECT COUNT(*) AS high_scoring_games FROM game WHERE (team_name_home = 'Orlando Magic' OR team_name_away = 'Orlando Magic') AND pts_home > 100 AND pts_away > 100 AND season_id = '22010';	14	game	game	game
What is the total number of points scored by the Houston Rockets in games where they made more than 15 three-pointers?	SELECT SUM(points) AS total_points  FROM (     SELECT pts_home AS points      FROM game      WHERE team_name_home = 'Houston Rockets' AND fg3m_home > 15      UNION ALL      SELECT pts_away AS points      FROM game      WHERE team_name_away = 'Houston Rockets' AND fg3m_away > 15 ) AS combined_games	32793	(     SELECT pts_home AS points      FROM game	game	game
How many total rebounds did the Milwaukee Bucks get in games where they scored at least 110 points?	SELECT SUM(rebounds) AS total_rebounds  FROM (     SELECT reb_home AS rebounds      FROM game      WHERE team_name_home = 'Milwaukee Bucks' AND pts_home >= 110      UNION ALL      SELECT reb_away AS rebounds      FROM game      WHERE team_name_away = 'Milwaukee Bucks' AND pts_away >= 110 ) AS combined_games	48323	(     SELECT reb_home AS rebounds      FROM game	game	game
What is the average number of assists per game for the Golden State Warriors when they won during the 2018 season?	SELECT AVG(assists) AS avg_assists  FROM (     SELECT ast_home AS assists      FROM game      WHERE team_name_home = 'Golden State Warriors' AND wl_home = 'W' AND season_id = '22018'      UNION ALL      SELECT ast_away AS assists      FROM game      WHERE team_name_away = 'Golden State Warriors' AND wl_away = 'W' AND season_id = '22018' ) AS winning_games	31	(     SELECT ast_home AS assists      FROM game	game	game
What is the highest number of steals the Toronto Raptors recorded in a single game during the 2019 season?	SELECT MAX(steals) AS max_steals  FROM (     SELECT stl_home AS steals      FROM game      WHERE team_name_home = 'Toronto Raptors' AND season_id = '22019'      UNION ALL      SELECT stl_away AS steals      FROM game      WHERE team_name_away = 'Toronto Raptors' AND season_id = '22019' ) AS all_games	17	(     SELECT stl_home AS steals      FROM game	game	game
How many games did the Los Angeles Lakers play where they had more than 25 assists and won?	SELECT COUNT(*) AS total_games  FROM (     SELECT game_id      FROM game      WHERE team_name_home = 'Los Angeles Lakers' AND ast_home > 25 AND wl_home = 'W'      UNION ALL      SELECT game_id      FROM game      WHERE team_name_away = 'Los Angeles Lakers' AND ast_away > 25 AND wl_away = 'W' ) AS winning_games_with_assists	1159	(     SELECT game_id      FROM game	game	game
What is the average shooting percentage of the Philadelphia 76ers in games where they scored at least 100 points during the 2019 season?	SELECT AVG(fg_pct) AS avg_shooting_percentage  FROM (     SELECT fg_pct_home AS fg_pct      FROM game      WHERE team_name_home = 'Philadelphia 76ers' AND pts_home >= 100 AND season_id = '22019'      UNION ALL      SELECT fg_pct_away AS fg_pct      FROM game      WHERE team_name_away = 'Philadelphia 76ers' AND pts_away >= 100 AND season_id = '22019' ) AS high_scoring_games	0.4846785714	(     SELECT fg_pct_home AS fg_pct      FROM game	game	game
How many total blocks did the Brooklyn Nets record in games where they had more than 10 turnovers?	SELECT SUM(blocks) AS total_blocks  FROM (     SELECT blk_home AS blocks      FROM game      WHERE team_name_home = 'Brooklyn Nets' AND tov_home > 10      UNION ALL      SELECT blk_away AS blocks      FROM game      WHERE team_name_away = 'Brooklyn Nets' AND tov_away > 10 ) AS turnover_games	3570	(     SELECT blk_home AS blocks      FROM game	game	game
Which team had the highest field goal percentage in the 1996 season?	SELECT team_name, AVG(fg_pct) AS avg_fg_pct FROM (     SELECT team_name_home AS team_name, fg_pct_home AS fg_pct     FROM game     WHERE season_id = '21996'     UNION ALL     SELECT team_name_away AS team_name, fg_pct_away AS fg_pct     FROM game     WHERE season_id = '21996' ) AS all_teams GROUP BY team_name ORDER BY avg_fg_pct DESC LIMIT 1	Utah Jazz | 0.505182926829268	(     SELECT team_name_home AS team_name, fg_pct_home AS fg_pct     FROM game	game	game
How many games did the Chicago Bulls win during their 1992 championship season?	SELECT COUNT(*) AS total_wins FROM (     SELECT game_id     FROM game     WHERE team_name_home = 'Chicago Bulls' AND wl_home = 'W' AND season_id = '21992'     UNION ALL     SELECT game_id     FROM game     WHERE team_name_away = 'Chicago Bulls' AND wl_away = 'W' AND season_id = '21992' ) AS winning_games	57	(     SELECT game_id     FROM game	game	game
What was the average number of rebounds per game for the Detroit Pistons in 1989?	SELECT AVG(rebounds) AS avg_rebounds FROM (     SELECT reb_home AS rebounds     FROM game     WHERE team_name_home = 'Detroit Pistons' AND season_id = '21989'     UNION ALL     SELECT reb_away AS rebounds     FROM game     WHERE team_name_away = 'Detroit Pistons' AND season_id = '21989' ) AS all_games	44.42682927	(     SELECT reb_home AS rebounds     FROM game	game	game
Which team had the most steals in the 2004 season?	SELECT team_name, SUM(steals) AS total_steals FROM (     SELECT team_name_home AS team_name, stl_home AS steals     FROM game     WHERE season_id = '22004'     UNION ALL     SELECT team_name_away AS team_name, stl_away AS steals     FROM game     WHERE season_id = '22004' ) AS all_teams GROUP BY team_name ORDER BY total_steals DESC LIMIT 1	Philadelphia 76ers | 756.0 	(     SELECT team_name_home AS team_name, stl_home AS steals     FROM game	game	game
How many times did the Boston Celtics and Los Angeles Lakers play against each other from 1980 to 1989?	SELECT COUNT(*) AS total_matchups FROM game WHERE ((team_name_home = 'Boston Celtics' AND team_name_away = 'Los Angeles Lakers')     OR (team_name_home = 'Los Angeles Lakers' AND team_name_away = 'Boston Celtics')) AND CAST(SUBSTR(season_id, 2) AS INTEGER) BETWEEN 1980 AND 1989	39	game	game	game
What was the total number of points scored by the San Antonio Spurs in the 2014 season?	SELECT SUM(points) AS total_points FROM (     SELECT pts_home AS points     FROM game     WHERE team_name_home = 'San Antonio Spurs'     AND season_id = '22014'      UNION ALL     SELECT pts_away AS points     FROM game     WHERE team_name_away = 'San Antonio Spurs'     AND season_id = '22014' ) AS season_games	8461	(     SELECT pts_home AS points     FROM game	game	game
What team had the best free throw percentage in the 2001 regular season?	SELECT team_name, AVG(ft_pct) AS avg_ft_pct FROM (     SELECT team_name_home AS team_name, ft_pct_home AS ft_pct     FROM game     WHERE season_id = '22001' AND season_type = 'Regular Season'     UNION ALL     SELECT team_name_away AS team_name, ft_pct_away AS ft_pct     FROM game     WHERE season_id = '22001' AND season_type = 'Regular Season' ) AS all_teams GROUP BY team_name ORDER BY avg_ft_pct DESC LIMIT 1	Dallas Mavericks | 0.804768292682927	(     SELECT team_name_home AS team_name, ft_pct_home AS ft_pct     FROM game	game	game
Which team had the best home record in the 2010 season?	SELECT      team_name_home AS team FROM game WHERE season_id = '22010' GROUP BY team_name_home ORDER BY CAST(SUM(CASE WHEN wl_home = 'W' THEN 1 ELSE 0 END) AS FLOAT) / COUNT(*) DESC LIMIT 1	San Antonio Spurs | 36 | 5 | 0.878048780487805 	game	game	game
What was the average margin of victory for the Miami Heat during the 2013 NBA season? 	SELECT AVG(victory_margin) AS avg_victory_margin FROM (     SELECT plus_minus_home AS victory_margin     FROM game     WHERE team_name_home = 'Miami Heat'      AND wl_home = 'W'      AND season_id = '22013'     UNION ALL     SELECT plus_minus_away AS victory_margin     FROM game     WHERE team_name_away = 'Miami Heat'      AND wl_away = 'W'      AND season_id = '22013' ) AS victories	11.48148148	(     SELECT plus_minus_home AS victory_margin     FROM game	game	game
What is the all-time head-to-head record between the Los Angeles Lakers and Boston Celtics?	SELECT     SUM(CASE WHEN          (team_name_home = 'Los Angeles Lakers' AND wl_home = 'W') OR          (team_name_away = 'Los Angeles Lakers' AND wl_away = 'W')      THEN 1 ELSE 0 END) AS lakers_wins,     SUM(CASE WHEN          (team_name_home = 'Boston Celtics' AND wl_home = 'W') OR          (team_name_away = 'Boston Celtics' AND wl_away = 'W')      THEN 1 ELSE 0 END) AS celtics_wins FROM game WHERE (team_name_home = 'Los Angeles Lakers' AND team_name_away = 'Boston Celtics')    OR (team_name_home = 'Boston Celtics' AND team_name_away = 'Los Angeles Lakers')	110 | 113	game	game	game
How many games in NBA history have gone to overtime?	SELECT COUNT(*) AS overtime_games FROM game WHERE min > 240	3414	game	game	game
What team had the most turnovers in a single game during the 2019 season?	SELECT      CASE          WHEN tov_home > tov_away THEN team_name_home         ELSE team_name_away     END AS team_with_most_turnovers FROM game WHERE season_id = '22019' ORDER BY CASE      WHEN tov_home > tov_away THEN tov_home     ELSE tov_away END DESC LIMIT 1	Sacramento Kings	game	game	game
Which players scored 50 or more points in a game during the 1990s?	SELECT      game_id,     game_date,     CASE          WHEN pts_home >= 50 THEN team_name_home         ELSE team_name_away     END AS team_name,     CASE          WHEN pts_home >= 50 THEN pts_home         ELSE pts_away     END AS points FROM game WHERE (pts_home >= 50 OR pts_away >= 50) AND CAST(SUBSTR(season_id, 2) AS INTEGER) BETWEEN 1990 AND 1999 ORDER BY points DESC		game	game	game
How many games did the Golden State Warriors win by 20 or more points during their 73-win season?	 SELECT COUNT(*) AS blowout_wins FROM (     SELECT game_id     FROM game     WHERE season_id = '22016'     AND ((team_name_home = 'Golden State Warriors' AND wl_home = 'W' AND plus_minus_home >= 20)     OR (team_name_away = 'Golden State Warriors' AND wl_away = 'W' AND plus_minus_away >= 20)) ) AS big_wins	23	(     SELECT game_id     FROM game	game	game
What was the most common final score in NBA games during the 2000s and how many times did it happen? 	SELECT      pts_home || '-' || pts_away AS score,     COUNT(*) AS frequency FROM game WHERE CAST(SUBSTR(season_id, 2) AS INTEGER) BETWEEN 2000 AND 2009 GROUP BY score ORDER BY frequency DESC LIMIT 1	97.0-92.0 | 29 	game	game	game
How many times did a team score 100 or more points but still lose the game in the 2020 season?	SELECT COUNT(*) AS high_scoring_losses FROM (     SELECT game_id     FROM game     WHERE season_id = '22020'     AND ((pts_home >= 100 AND wl_home = 'L')     OR (pts_away >= 100 AND wl_away = 'L')) ) AS games	769	(     SELECT game_id     FROM game	game	game
Which year saw the highest average points per game in NBA history?	SELECT      SUBSTR(season_id, 2) AS year,     AVG(pts_home + pts_away) / 2 AS avg_pts_per_team FROM game GROUP BY year ORDER BY avg_pts_per_team DESC LIMIT 1	1960 | 142.0 		game	game
What team had the worst free throw percentage in games they won during the 2007 season?	SELECT team_name, AVG(ft_pct) AS avg_ft_pct_in_wins FROM (     SELECT team_name_home AS team_name, ft_pct_home AS ft_pct     FROM game     WHERE season_id = '22007' AND wl_home = 'W'     UNION ALL     SELECT team_name_away AS team_name, ft_pct_away AS ft_pct     FROM game     WHERE season_id = '22007' AND wl_away = 'W' ) AS winning_games GROUP BY team_name ORDER BY avg_ft_pct_in_wins ASC LIMIT 1	Cleveland Cavaliers | 0.717622222222222 	(     SELECT team_name_home AS team_name, ft_pct_home AS ft_pct     FROM game	game	game
How many times have the Los Angeles Lakers scored more than 120 points in a game but still lost?	SELECT COUNT(*) AS high_scoring_losses FROM (     SELECT game_id     FROM game     WHERE (team_name_home = 'Los Angeles Lakers' AND pts_home > 120 AND wl_home = 'L')     OR (team_name_away = 'Los Angeles Lakers' AND pts_away > 120 AND wl_away = 'L') ) AS games	90	(     SELECT game_id     FROM game	game	game
Which team had the most offensive rebounds in the 2009 season?	SELECT team_name, SUM(oreb) AS total_offensive_rebounds FROM (     SELECT team_name_home AS team_name, oreb_home AS oreb     FROM game     WHERE season_id = '22009'     UNION ALL     SELECT team_name_away AS team_name, oreb_away AS oreb     FROM game     WHERE season_id = '22009' ) AS all_teams GROUP BY team_name ORDER BY total_offensive_rebounds DESC LIMIT 1	Memphis Grizzlies | 1070.0 	(     SELECT team_name_home AS team_name, oreb_home AS oreb     FROM game	game	game
Which team had the best away record in the 2018 season?	SELECT      team_name_away AS team  FROM game  WHERE season_id = '22018'  GROUP BY team_name_away  ORDER BY CAST(SUM(CASE WHEN wl_away = 'W' THEN 1 ELSE 0 END) AS FLOAT) / COUNT(*) DESC  LIMIT 1		game	game	game
What was the highest number of points scored by the Boston Celtics in a home game during the 2020 season?	SELECT MAX(pts_home) AS max_points, team_name_home, season_id FROM game WHERE team_name_home = 'Boston Celtics'  AND season_id = '22020' GROUP BY team_name_home, season_id;	145.0 | Boston Celtics | 22020 	game	game	game
What is the total number of three-pointers made by the Golden State Warriors at home versus the Cleveland Cavaliers in all seasons combined?	SELECT SUM(fg3m_home) AS total_threes FROM game WHERE team_name_home = 'Golden State Warriors' AND team_name_away = 'Cleveland Cavaliers';	407	game	game	game
What was the combined rebound total for the Toronto Raptors and Brooklyn Nets in their highest scoring game against each other?	SELECT MAX(g.pts_home + g.pts_away) AS total_points,        g.reb_home + g.reb_away AS total_rebounds FROM game g WHERE (g.team_name_home = 'Toronto Raptors' AND g.team_name_away = 'Brooklyn Nets')    OR (g.team_name_home = 'Brooklyn Nets' AND g.team_name_away = 'Toronto Raptors') ORDER BY total_points DESC LIMIT 1;	272.0 | 101.0 	game g	game	game
When did the Phoenix Suns and San Antonio Spurs have their closest game in terms of final score difference?	SELECT g.game_date, ABS(g.pts_home - g.pts_away) AS score_difference FROM game g WHERE (g.team_name_home = 'Phoenix Suns' AND g.team_name_away = 'San Antonio Spurs')    OR (g.team_name_home = 'San Antonio Spurs' AND g.team_name_away = 'Phoenix Suns') ORDER BY score_difference ASC LIMIT 1;	1982-11-07 00:00:00 | 1.0 	game g	game	game
What was the average free throw percentage for the New York Knicks in games where they scored more than 100 points at home during the 2018 season?	SELECT AVG(ft_pct_home) AS avg_ft_percentage FROM game WHERE team_name_home = 'New York Knicks' AND pts_home > 100 AND season_id = '22018';	0.7675555556	game	game	game
What was the combined steals total for the Houston Rockets and Oklahoma City Thunder in their highest scoring matchup?	SELECT g.stl_home + g.stl_away AS total_steals,        g.pts_home + g.pts_away AS total_points FROM game g WHERE (g.team_name_home = 'Houston Rockets' AND g.team_name_away = 'Oklahoma City Thunder')    OR (g.team_name_home = 'Oklahoma City Thunder' AND g.team_name_away = 'Houston Rockets') ORDER BY total_points DESC LIMIT 1;	15.0 | 274.0 	game g	game	game
What was the largest point differential in any game between the Boston Celtics and the Los Angeles Lakers?	SELECT ABS(pts_home - pts_away) AS point_differential FROM game WHERE (team_name_home = 'Boston Celtics' AND team_name_away = 'Los Angeles Lakers')    OR (team_name_home = 'Los Angeles Lakers' AND team_name_away = 'Boston Celtics') ORDER BY point_differential DESC LIMIT 1;	39	game	game	game
What's the total number of blocks the Milwaukee Bucks recorded at home in the 2019 season compared to the 2020 season?	SELECT    (SELECT SUM(blk_home) FROM game WHERE team_name_home = 'Milwaukee Bucks' AND season_id = '22019') AS blocks_2019,   (SELECT SUM(blk_home) FROM game WHERE team_name_home = 'Milwaukee Bucks' AND season_id = '22020') AS blocks_2020,   (SELECT SUM(blk_home) FROM game WHERE team_name_home = 'Milwaukee Bucks' AND season_id = '22020') -    (SELECT SUM(blk_home) FROM game WHERE team_name_home = 'Milwaukee Bucks' AND season_id = '22019') AS blocks_difference FROM game LIMIT 1;	207.0 | 171.0 | -36.0 	game	game	game
What was the shooting efficiency (field goal percentage) difference between the Toronto Raptors and their opponents in home games they won during the 2019 season?	SELECT AVG(fg_pct_home - fg_pct_away) AS fg_pct_differential FROM game WHERE team_name_home = 'Toronto Raptors' AND wl_home = 'W' AND season_id = '22019';	0.07526923077	game	game	game
In games where the Miami Heat scored more than 110 points at home, what was their average rebounding advantage over opponents?	SELECT AVG(reb_home - reb_away) AS avg_rebound_advantage FROM game WHERE team_name_home = 'Miami Heat' AND pts_home > 110;	4.68079096	game	game	game
In which season did the Portland Trail Blazers have the best home court free throw shooting percentage in games they lost?	SELECT season_id, AVG(ft_pct_home) AS avg_ft_pct FROM game WHERE team_name_home = 'Portland Trail Blazers' AND wl_home = 'L' GROUP BY season_id ORDER BY avg_ft_pct DESC LIMIT 1;	42000 | 0.923 	game	game	game
What was the offensive rebound difference between the Denver Nuggets and Minnesota Timberwolves in their highest combined scoring game?	SELECT    CASE      WHEN g.team_name_home = 'Denver Nuggets' THEN g.oreb_home - g.oreb_away     ELSE g.oreb_away - g.oreb_home   END AS nuggets_oreb_advantage FROM game g WHERE (g.team_name_home = 'Denver Nuggets' AND g.team_name_away = 'Minnesota Timberwolves')    OR (g.team_name_home = 'Minnesota Timberwolves' AND g.team_name_away = 'Denver Nuggets') ORDER BY (g.pts_home + g.pts_away) DESC LIMIT 1;	0	game g	game	game
