natural_query	sql_query	result	from_to_where	after_froM	after_from
Which team scored the most second-chance points in a game during the 2019 season?	SELECT      CASE          WHEN o.pts_2nd_chance_home > o.pts_2nd_chance_away THEN g.team_name_home         ELSE g.team_name_away     END AS team_name,     CASE          WHEN o.pts_2nd_chance_home > o.pts_2nd_chance_away THEN o.pts_2nd_chance_home         ELSE o.pts_2nd_chance_away     END AS second_chance_points,     g.game_date FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE g.season_id = '22019' ORDER BY second_chance_points DESC LIMIT 1;	Minnesota Timberwolves | 35 | 2019-11-08 00:00:00	game g JOIN other_stats o ON g.game_id = o.game_id	game	game
How many games did the Detroit Pistons win when they scored fewer points in the paint than their opponents?	SELECT COUNT(*) AS wins_with_fewer_paint_points FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE ((g.team_name_home = 'Detroit Pistons' AND g.wl_home = 'W' AND o.pts_paint_home < o.pts_paint_away) OR (g.team_name_away = 'Detroit Pistons' AND g.wl_away = 'W' AND o.pts_paint_away < o.pts_paint_home));	431	game g JOIN other_stats o ON g.game_id = o.game_id	game	game
How many games in the 2018 season had more than 15 lead changes and more than 10 ties?	SELECT COUNT(*) AS competitive_games FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE g.season_id = '22018' AND o.lead_changes > 15 AND o.times_tied > 10;	54	game g JOIN other_stats o ON g.game_id = o.game_id	game	game
Which team had the most points off turnovers in a single game during the 2020 season?	SELECT      CASE          WHEN o.pts_off_to_home > o.pts_off_to_away THEN g.team_name_home         ELSE g.team_name_away     END AS team_name,     CASE          WHEN o.pts_off_to_home > o.pts_off_to_away THEN o.pts_off_to_home         ELSE o.pts_off_to_away     END AS points_off_turnovers,     g.game_date FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE g.season_id = '22020' ORDER BY points_off_turnovers DESC LIMIT 1;	Denver Nuggets | 39 | 2021-04-19 00:00:00	game g JOIN other_stats o ON g.game_id = o.game_id	game	game
What's the average number of fastbreak points scored by winning teams in the 2021 season?	SELECT AVG(fastbreak_points) AS avg_fb_points_winners FROM (     SELECT o.pts_fb_home AS fastbreak_points     FROM game g     JOIN other_stats o ON g.game_id = o.game_id     WHERE g.wl_home = 'W'     AND g.season_id = '22021'          UNION ALL          SELECT o.pts_fb_away AS fastbreak_points     FROM game g     JOIN other_stats o ON g.game_id = o.game_id     WHERE g.wl_away = 'W'     AND g.season_id = '22021' );	12.45038168	(     SELECT o.pts_fb_home AS fastbreak_points     FROM game g     JOIN other_stats o ON g.game_id = o.game_id	game	game
What is the total number of points the Boston Celtics scored in the paint during the 2020 season?	SELECT SUM(paint_points) AS total_paint_points  FROM (     SELECT os.pts_paint_home AS paint_points      FROM other_stats os      JOIN game g ON os.game_id = g.game_id      WHERE g.team_name_home = 'Boston Celtics' AND g.season_id = '22020'      UNION ALL      SELECT os.pts_paint_away AS paint_points      FROM other_stats os      JOIN game g ON os.game_id = g.game_id      WHERE g.team_name_away = 'Boston Celtics' AND g.season_id = '22020' ) AS all_games	2884	(     SELECT os.pts_paint_home AS paint_points      FROM other_stats os      JOIN game g ON os.game_id = g.game_id	other_stats	other_stats
What was the average number of fast break points scored by the Miami Heat in games they lost during the 2017 season?	SELECT AVG(fastbreak_points) AS avg_fastbreak_points  FROM (     SELECT os.pts_fb_home AS fastbreak_points      FROM other_stats os      JOIN game g ON os.game_id = g.game_id      WHERE g.team_name_home = 'Miami Heat' AND g.wl_home = 'L' AND g.season_id = '22017'      UNION ALL      SELECT os.pts_fb_away AS fastbreak_points      FROM other_stats os      JOIN game g ON os.game_id = g.game_id      WHERE g.team_name_away = 'Miami Heat' AND g.wl_away = 'L' AND g.season_id = '22017' ) AS losing_games	11.29032258	(     SELECT os.pts_fb_home AS fastbreak_points      FROM other_stats os      JOIN game g ON os.game_id = g.game_id	other_stats	other_stats
What is the total number of points scored by the Denver Nuggets in fourth quarters during the 2021 season?	SELECT SUM(points_off_turnovers) AS total_points_off_turnovers  FROM (     SELECT os.pts_off_to_home AS points_off_turnovers      FROM other_stats os      JOIN game g ON os.game_id = g.game_id      WHERE g.team_name_home = 'Denver Nuggets' AND g.season_id = '22021'      UNION ALL      SELECT os.pts_off_to_away AS points_off_turnovers      FROM other_stats os      JOIN game g ON os.game_id = g.game_id      WHERE g.team_name_away = 'Denver Nuggets' AND g.season_id = '22021' ) AS all_games	1071	(     SELECT os.pts_off_to_home AS points_off_turnovers      FROM other_stats os      JOIN game g ON os.game_id = g.game_id	other_stats	other_stats
How many points did Michael Jordan's Chicago Bulls score in the paint during the 1997 season?	SELECT SUM(paint_points) AS total_paint_points FROM (     SELECT os.pts_paint_home AS paint_points     FROM other_stats os     JOIN game g ON os.game_id = g.game_id     WHERE g.team_name_home = 'Chicago Bulls' AND g.season_id = '21997'     UNION ALL     SELECT os.pts_paint_away AS paint_points     FROM other_stats os     JOIN game g ON os.game_id = g.game_id     WHERE g.team_name_away = 'Chicago Bulls' AND g.season_id = '21997' ) AS all_games	2654	(     SELECT os.pts_paint_home AS paint_points     FROM other_stats os     JOIN game g ON os.game_id = g.game_id	other_stats	other_stats
Which team had the most second-chance points in the 2015 season?	SELECT team_name, SUM(second_chance_pts) AS total_second_chance_pts FROM (     SELECT g.team_name_home AS team_name, os.pts_2nd_chance_home AS second_chance_pts     FROM game g     JOIN other_stats os ON g.game_id = os.game_id     WHERE g.season_id = '22015'     UNION ALL     SELECT g.team_name_away AS team_name, os.pts_2nd_chance_away AS second_chance_pts     FROM game g     JOIN other_stats os ON g.game_id = os.game_id     WHERE g.season_id = '22015' ) AS all_teams GROUP BY team_name ORDER BY total_second_chance_pts DESC LIMIT 1	Houston Rockets | 1085 	(     SELECT g.team_name_home AS team_name, os.pts_2nd_chance_home AS second_chance_pts     FROM game g     JOIN other_stats os ON g.game_id = os.game_id	game	game
Which team scored the most points off turnovers in the 2017 season and how many points did they score? 	SELECT team_name, SUM(pts_off_turnovers) AS total_pts_off_turnovers FROM (     SELECT g.team_name_home AS team_name, os.pts_off_to_home AS pts_off_turnovers     FROM game g     JOIN other_stats os ON g.game_id = os.game_id     WHERE g.season_id = '22017'     UNION ALL     SELECT g.team_name_away AS team_name, os.pts_off_to_away AS pts_off_turnovers     FROM game g     JOIN other_stats os ON g.game_id = os.game_id     WHERE g.season_id = '22017' ) AS all_games GROUP BY team_name ORDER BY total_pts_off_turnovers DESC LIMIT 1	Atlanta Hawks | 1309 	(     SELECT g.team_name_home AS team_name, os.pts_off_to_home AS pts_off_turnovers     FROM game g     JOIN other_stats os ON g.game_id = os.game_id	game	game
What team had the highest average number of fast break points per game in the 2005 season and how many of those points did they score? 	SELECT team_name, AVG(fastbreak_pts) AS avg_fastbreak_pts FROM (     SELECT g.team_name_home AS team_name, os.pts_fb_home AS fastbreak_pts     FROM game g     JOIN other_stats os ON g.game_id = os.game_id     WHERE g.season_id = '22005'     UNION ALL     SELECT g.team_name_away AS team_name, os.pts_fb_away AS fastbreak_pts     FROM game g     JOIN other_stats os ON g.game_id = os.game_id     WHERE g.season_id = '22005' ) AS all_teams GROUP BY team_name ORDER BY avg_fastbreak_pts DESC LIMIT 1	Denver Nuggets | 16.1641791044776	(     SELECT g.team_name_home AS team_name, os.pts_fb_home AS fastbreak_pts     FROM game g     JOIN other_stats os ON g.game_id = os.game_id	game	game
Which team had the best overall record in the 2010 season?	WITH home_records AS (     SELECT          team_name_home AS team_name,         SUM(CASE WHEN wl_home = 'W' THEN 1 ELSE 0 END) AS wins,         COUNT(*) AS games_played     FROM game     WHERE season_id = '22010'     GROUP BY team_name_home ), away_records AS (     SELECT          team_name_away AS team_name,         SUM(CASE WHEN wl_away = 'W' THEN 1 ELSE 0 END) AS wins,         COUNT(*) AS games_played     FROM game     WHERE season_id = '22010'     GROUP BY team_name_away ) SELECT      h.team_name AS team,     (h.wins + a.wins) AS total_wins,     (h.games_played + a.games_played - h.wins - a.wins) AS total_losses,     CAST((h.wins + a.wins) AS FLOAT) / (h.games_played + a.games_played) AS win_percentage FROM home_records h JOIN away_records a ON h.team_name = a.team_name ORDER BY win_percentage DESC LIMIT 1	Chicago Bulls | 62 | 20 | 0.75609756097561 	game	game	game
Which team had the worst overall record in the 2017 season?	WITH home_records AS (     SELECT          team_name_home AS team_name,         SUM(CASE WHEN wl_home = 'W' THEN 1 ELSE 0 END) AS wins,         COUNT(*) AS games_played     FROM game     WHERE season_id = '22017'     GROUP BY team_name_home ), away_records AS (     SELECT          team_name_away AS team_name,         SUM(CASE WHEN wl_away = 'W' THEN 1 ELSE 0 END) AS wins,         COUNT(*) AS games_played     FROM game     WHERE season_id = '22017'     GROUP BY team_name_away ) SELECT      h.team_name AS team,     (h.wins + a.wins) AS total_wins,     (h.games_played + a.games_played - h.wins - a.wins) AS total_losses,     CAST((h.wins + a.wins) AS FLOAT) / (h.games_played + a.games_played) AS win_percentage FROM home_records h JOIN away_records a ON h.team_name = a.team_name ORDER BY win_percentage ASC LIMIT 1	Phoenix Suns | 21 | 61 | 0.25609756097561 	game	game	game
Which team had the largest home court lead in any game against the Los Angeles Lakers?	SELECT team_city_home AS home_team, largest_lead_home AS max_lead FROM other_stats JOIN game ON other_stats.game_id = game.game_id WHERE team_name_away = 'Los Angeles Lakers' ORDER BY largest_lead_home DESC LIMIT 1;	Utah | 53 	other_stats JOIN game ON other_stats.game_id = game.game_id	other_stats	other_stats
How many fastbreak points did the Miami Heat score at home in their highest scoring game of the 2019 season?	SELECT o.pts_fb_home AS fastbreak_points, g.pts_home AS total_points FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE g.team_name_home = 'Miami Heat' AND g.season_id = '22019' ORDER BY g.pts_home DESC LIMIT 1;	8 | 137.0 	game g JOIN other_stats o ON g.game_id = o.game_id	game	game
 What is the average number of points scored in the paint by the Philadelphia 76ers at home in games they won versus games they lost?	SELECT    (SELECT AVG(o.pts_paint_home)     FROM game g     JOIN other_stats o ON g.game_id = o.game_id     WHERE g.team_name_home = 'Philadelphia 76ers' AND g.wl_home = 'W') AS avg_paint_points_wins,   (SELECT AVG(o.pts_paint_home)     FROM game g     JOIN other_stats o ON g.game_id = o.game_id     WHERE g.team_name_home = 'Philadelphia 76ers' AND g.wl_home = 'L') AS avg_paint_points_losses FROM game LIMIT 1;	42.4105461393597 | 41.4549763033175 	game g     JOIN other_stats o ON g.game_id = o.game_id	game	game
In which season did the Los Angeles Lakers have the highest average points in the paint at home?	SELECT g.season_id, AVG(o.pts_paint_home) AS avg_paint_points FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE g.team_name_home = 'Los Angeles Lakers' GROUP BY g.season_id ORDER BY avg_paint_points DESC LIMIT 1;	22018 | 54.4242424242424 	game g JOIN other_stats o ON g.game_id = o.game_id	game	game
Which opponent did the Golden State Warriors have the most lead changes against in a single home game?	SELECT o.team_city_away AS opponent, o.lead_changes FROM other_stats o JOIN game g ON o.game_id = g.game_id WHERE g.team_name_home = 'Golden State Warriors' ORDER BY o.lead_changes DESC LIMIT 1;	Seattle | 33 	other_stats o JOIN game g ON o.game_id = g.game_id	other_stats	other_stats
What was the date of the game with the most combined second-chance points between the Philadelphia 76ers and the Brooklyn Nets?	SELECT g.game_date, (o.pts_2nd_chance_home + o.pts_2nd_chance_away) AS total_second_chance_pts FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE (g.team_name_home = 'Philadelphia 76ers' AND g.team_name_away = 'Brooklyn Nets')    OR (g.team_name_home = 'Brooklyn Nets' AND g.team_name_away = 'Philadelphia 76ers') ORDER BY total_second_chance_pts DESC LIMIT 1;	2012-10-19 00:00:00 | 49 	game g JOIN other_stats o ON g.game_id = o.game_id	game	game
How many points did the Chicago Bulls score from fastbreaks and points off turnovers combined in their highest scoring home game of the 2017 season?	SELECT (o.pts_fb_home + o.pts_off_to_home) AS transition_points, g.pts_home FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE g.team_name_home = 'Chicago Bulls' AND g.season_id = '22017' ORDER BY g.pts_home DESC LIMIT 1;	28 | 123.0 	game g JOIN other_stats o ON g.game_id = o.game_id	game	game
What is the average number of points in the paint scored by the Sacramento Kings at home in the first half of the 2018 season compared to the second half?	SELECT    (SELECT AVG(o.pts_paint_home)     FROM game g     JOIN other_stats o ON g.game_id = o.game_id     WHERE g.team_name_home = 'Sacramento Kings'     AND g.season_id = '22018'    AND CAST(strftime('%m', g.game_date) AS INTEGER) <= 6) AS first_half_avg,   (SELECT AVG(o.pts_paint_home)     FROM game g     JOIN other_stats o ON g.game_id = o.game_id     WHERE g.team_name_home = 'Sacramento Kings'     AND g.season_id = '22018'    AND CAST(strftime('%m', g.game_date) AS INTEGER) > 6) AS second_half_avg FROM game LIMIT 1;	51.3 | 49.5 	game g     JOIN other_stats o ON g.game_id = o.game_id	game	game
What was the largest lead held by the Orlando Magic in any game where they eventually lost at home?	SELECT o.largest_lead_home AS largest_lead, g.game_date FROM other_stats o JOIN game g ON o.game_id = g.game_id WHERE g.team_name_home = 'Orlando Magic' AND g.wl_home = 'L' ORDER BY o.largest_lead_home DESC LIMIT 1;	46 | 2017-11-18 00:00:00	other_stats o JOIN game g ON o.game_id = g.game_id	other_stats	other_stats
What's the combined assist-to-turnover ratio for the Cleveland Cavaliers in home games during their best winning streak?	WITH streaks AS (   SELECT      g.game_id,     g.ast_home,     o.total_turnovers_home,     ROW_NUMBER() OVER (ORDER BY g.game_date) -      ROW_NUMBER() OVER (PARTITION BY g.wl_home ORDER BY g.game_date) AS streak_id   FROM game g   JOIN other_stats o ON g.game_id = o.game_id   WHERE g.team_name_home = 'Cleveland Cavaliers'   AND g.wl_home = 'W' ) SELECT    SUM(ast_home) / CASE WHEN SUM(total_turnovers_home) = 0 THEN 1 ELSE SUM(total_turnovers_home) END AS assist_turnover_ratio FROM streaks GROUP BY streak_id ORDER BY COUNT(*) DESC, assist_turnover_ratio DESC LIMIT 1;	1.731766124	game g   JOIN other_stats o ON g.game_id = o.game_id	game	game
In games where the Phoenix Suns outscored their opponents in fastbreak points at home, what was their win percentage?	SELECT    COUNT(CASE WHEN g.wl_home = 'W' THEN 1 END) * 100.0 / COUNT(*) AS win_percentage FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE g.team_name_home = 'Phoenix Suns' AND o.pts_fb_home > o.pts_fb_away;	62.12121212	game g JOIN other_stats o ON g.game_id = o.game_id	game	game
Which team had the highest average points from second chance opportunities in home games they won during the 2016 season?	SELECT g.team_name_home, AVG(o.pts_2nd_chance_home) AS avg_second_chance_pts FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE g.wl_home = 'W' AND g.season_id = '22016' GROUP BY g.team_name_home ORDER BY avg_second_chance_pts DESC LIMIT 1;	Los Angeles Lakers | 15.6153846153846 	game g JOIN other_stats o ON g.game_id = o.game_id	game	game
What was the lowest number of combined turnovers in any game involving the San Antonio Spurs during the 2019 season?	SELECT MIN(o.total_turnovers_home + o.total_turnovers_away) AS min_combined_turnovers FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE (g.team_name_home = 'San Antonio Spurs' OR g.team_name_away = 'San Antonio Spurs') AND g.season_id = '22019';	13	game g JOIN other_stats o ON g.game_id = o.game_id	game	game
In games where the Brooklyn Nets scored more than 50 points in the paint at home, what was their assist-to-field goal made ratio?	SELECT SUM(g.ast_home) * 1.0 / SUM(g.fgm_home) AS assist_to_fgm_ratio FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE g.team_name_home = 'Brooklyn Nets' AND o.pts_paint_home > 50;	0.588761175	game g JOIN other_stats o ON g.game_id = o.game_id	game	game
What was the highest number of lead changes in any game between the Los Angeles Lakers and Boston Celtics?	SELECT MAX(o.lead_changes) AS max_lead_changes FROM other_stats o JOIN game g ON o.game_id = g.game_id WHERE (g.team_name_home = 'Los Angeles Lakers' AND g.team_name_away = 'Boston Celtics')    OR (g.team_name_home = 'Boston Celtics' AND g.team_name_away = 'Los Angeles Lakers');	22	other_stats o JOIN game g ON o.game_id = g.game_id	other_stats	other_stats
Which team had the largest improvement in points off turnovers at home from the 2015 to 2016 season?	SELECT g1.team_name_home,        AVG(CASE WHEN g1.season_id = '22016' THEN o1.pts_off_to_home END) -        AVG(CASE WHEN g1.season_id = '22015' THEN o1.pts_off_to_home END) AS improvement FROM game g1 JOIN other_stats o1 ON g1.game_id = o1.game_id WHERE g1.season_id IN ('22015', '22016') GROUP BY g1.team_name_home ORDER BY improvement DESC LIMIT 1;	Los Angeles Lakers | 2.32432432432432	game g1 JOIN other_stats o1 ON g1.game_id = o1.game_id	game	game
Which opponent did the Philadelphia 76ers have the most ties in a single game with during the 2019 season?	SELECT g.team_name_away, o.times_tied FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE g.team_name_home = 'Philadelphia 76ers' AND g.season_id = '22019' ORDER BY o.times_tied DESC LIMIT 1;	Indiana Pacers | 14 	game g JOIN other_stats o ON g.game_id = o.game_id	game	game
Which opponent did the Orlando Magic have the most fastbreak points against in a home game during the 2019 season?	SELECT g.team_name_away, o.pts_fb_home AS fastbreak_points FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE g.team_name_home = 'Orlando Magic' AND g.season_id = '22019' ORDER BY o.pts_fb_home DESC LIMIT 1;	New Orleans Pelicans | 21 	game g JOIN other_stats o ON g.game_id = o.game_id	game	game
What was the average number of lead changes in games where the Milwaukee Bucks won at home by less than 5 points?	SELECT AVG(o.lead_changes) AS avg_lead_changes FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE g.team_name_home = 'Milwaukee Bucks' AND g.wl_home = 'W' AND (g.pts_home - g.pts_away) < 5;	8.59375	game g JOIN other_stats o ON g.game_id = o.game_id	game	game
What was the points in the paint difference between the Los Angeles Lakers and their opponents in home games they won by double digits during the 2020 season?	SELECT AVG(o.pts_paint_home - o.pts_paint_away) AS paint_points_diff FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE g.team_name_home = 'Los Angeles Lakers' AND g.wl_home = 'W' AND (g.pts_home - g.pts_away) >= 10 AND g.season_id = '22020';	-0.5454545455	game g JOIN other_stats o ON g.game_id = o.game_id	game	game
What was the largest deficit overcome by the Miami Heat in any home victory?	SELECT o.largest_lead_away AS max_deficit_overcome FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE g.team_name_home = 'Miami Heat' AND g.wl_home = 'W' ORDER BY o.largest_lead_away DESC LIMIT 1;	46	game g JOIN other_stats o ON g.game_id = o.game_id	game	game
What was the difference in second-chance points between the Chicago Bulls and their opponents in their closest home game of the 2016 season?	SELECT o.pts_2nd_chance_home - o.pts_2nd_chance_away AS second_chance_diff FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE g.team_name_home = 'Chicago Bulls' AND g.season_id = '22016' ORDER BY ABS(g.pts_home - g.pts_away) ASC LIMIT 1;	-5	game g JOIN other_stats o ON g.game_id = o.game_id	game	game
Which opponent gave up the most points in the paint to the New York Knicks in a home game during the 2019 season?	SELECT g.team_name_away, o.pts_paint_home FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE g.team_name_home = 'New York Knicks' AND g.season_id = '22019' ORDER BY o.pts_paint_home DESC LIMIT 1;	New Orleans Pelicans | 66 	game g JOIN other_stats o ON g.game_id = o.game_id	game	game
What is the ratio of team rebounds to total rebounds for the Portland Trail Blazers in their highest scoring home game?	SELECT o.team_rebounds_home * 1.0 / NULLIF(g.reb_home, 0) AS team_to_total_reb_ratio FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE g.team_name_home = 'Portland Trail Blazers' ORDER BY g.pts_home DESC LIMIT 1;	0.3454545455	game g JOIN other_stats o ON g.game_id = o.game_id	game	game
What was the highest combined total of second chance points in any game involving the Miami Heat during the 2017 season?	SELECT MAX(o.pts_2nd_chance_home + o.pts_2nd_chance_away) AS max_combined_second_chance FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE (g.team_name_home = 'Miami Heat' OR g.team_name_away = 'Miami Heat') AND g.season_id = '22017';	41	game g JOIN other_stats o ON g.game_id = o.game_id	game	game
hat is the difference in average home winning percentage between teams founded before 1980 and teams founded after 1980?	SELECT    (SELECT COUNT(CASE WHEN g.wl_home = 'W' THEN 1 END) * 100.0 / COUNT(*)     FROM game g    JOIN team t ON g.team_id_home = t.id    WHERE t.year_founded < 1980) -   (SELECT COUNT(CASE WHEN g.wl_home = 'W' THEN 1 END) * 100.0 / COUNT(*)     FROM game g    JOIN team t ON g.team_id_home = t.id    WHERE t.year_founded >= 1980) AS win_pct_diff FROM game LIMIT 1;	7.048616104	game g    JOIN team t ON g.team_id_home = t.id	game	game
What was the average number of fastbreak points scored by the Los Angeles Lakers in home wins during the 2020 season?	SELECT AVG(o.pts_fb_home) AS avg_fastbreak_points FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE g.team_name_home = 'Los Angeles Lakers' AND g.wl_home = 'W' AND g.season_id = '22020';	13.64705882	game g JOIN other_stats o ON g.game_id = o.game_id	game	game
What was the average points in the paint for the Denver Nuggets in games they won versus games they lost at home?	SELECT    AVG(CASE WHEN g.wl_home = 'W' THEN o.pts_paint_home END) AS avg_paint_pts_wins,   AVG(CASE WHEN g.wl_home = 'L' THEN o.pts_paint_home END) AS avg_paint_pts_losses FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE g.team_name_home = 'Denver Nuggets';	45.465034965035 | 42.1988950276243 	game g JOIN other_stats o ON g.game_id = o.game_id	game	game
What is the winning percentage of teams that score more points off turnovers than their opponents in home games?	SELECT COUNT(CASE WHEN g.wl_home = 'W' THEN 1 END) * 100.0 / COUNT(*) AS win_percentage FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE o.pts_off_to_home > o.pts_off_to_away;	59.39603106	game g JOIN other_stats o ON g.game_id = o.game_id	game	game
Which team had the highest average second chance points in home games during the 2020 season?	SELECT g.team_name_home, AVG(o.pts_2nd_chance_home) AS avg_second_chance_pts FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE g.season_id = '22020' GROUP BY g.team_name_home ORDER BY avg_second_chance_pts DESC LIMIT 1;	Minnesota Timberwolves | 15.3793103448276 	game g JOIN other_stats o ON g.game_id = o.game_id	game	game
