natural_query	sql_query	result	from_to_where	after_froM	after_from
How many games had more than 20 lead changes in the 2019 season?	SELECT COUNT(*) AS high_lead_change_games FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE g.season_id = '22019' AND o.lead_changes > 20;	11	game g JOIN other_stats o ON g.game_id = o.game_id	game	game
What was the average number of rebounds grabbed by the Toronto Raptors in games where they scored at least 40 points from fast breaks?	SELECT AVG(rebounds) AS avg_rebounds FROM (     SELECT g.game_id, g.reb_home AS rebounds     FROM game g     JOIN other_stats o ON g.game_id = o.game_id     WHERE g.team_name_home = 'Toronto Raptors'     AND o.pts_fb_home >= 40          UNION ALL          SELECT g.game_id, g.reb_away AS rebounds     FROM game g     JOIN other_stats o ON g.game_id = o.game_id     WHERE g.team_name_away = 'Toronto Raptors'     AND o.pts_fb_away >= 40 );	43.9	(     SELECT g.game_id, g.reb_home AS rebounds     FROM game g     JOIN other_stats o ON g.game_id = o.game_id	game	game
What was the average points scored by the Denver Nuggets in home games during the 2019 season?	SELECT AVG(pts_home) AS avg_home_points FROM game WHERE team_name_home = 'Denver Nuggets' AND season_id = '22019';	111.8378378	game	game	game
How many games did the Philadelphia 76ers lose by more than 20 points in the 2018 season?	SELECT COUNT(*) AS blowout_losses FROM game WHERE (team_name_home = 'Philadelphia 76ers' AND wl_home = 'L' AND plus_minus_home < -20) OR (team_name_away = 'Philadelphia 76ers' AND wl_away = 'L' AND plus_minus_away < -20) AND season_id = '22018';	100	game	game	game
Which team had the highest three-point shooting percentage in away games during the 2020 season?	SELECT team_name_away, AVG(fg3_pct_away) AS avg_3pt_pct FROM game WHERE season_id = '22020' GROUP BY team_name_away ORDER BY avg_3pt_pct DESC LIMIT 1;	LA Clippers | 0.401333333333333	game	game	game
What is the total number of points scored by the Houston Rockets in games where they made more than 20 three-pointers?	SELECT SUM(points) AS total_points FROM (     SELECT pts_home AS points     FROM game     WHERE team_name_home = 'Houston Rockets'     AND fg3m_home > 20          UNION ALL          SELECT pts_away AS points     FROM game     WHERE team_name_away = 'Houston Rockets'     AND fg3m_away > 20 );	6435	(     SELECT pts_home AS points     FROM game	game	game
What was the average margin of victory for the Milwaukee Bucks in home wins during the 2021 season?	SELECT AVG(plus_minus_home) AS avg_victory_margin FROM game WHERE team_name_home = 'Milwaukee Bucks' AND wl_home = 'W' AND season_id = '22021';	13.37037037	game	game	game
Which team had the most steals in a single game during the 2015 season?	SELECT      CASE          WHEN stl_home > stl_away THEN team_name_home          ELSE team_name_away      END AS team_name,     CASE          WHEN stl_home > stl_away THEN stl_home          ELSE stl_away      END AS steals,     game_date FROM game WHERE season_id = '22015' ORDER BY steals DESC LIMIT 1;	New Orleans Pelicans | 21.0 | 2016-01-08 00:00:00	game	game	game
How many games did the San Antonio Spurs play that went to overtime in the 2016 season?	SELECT COUNT(*) AS overtime_games FROM game WHERE (team_name_home = 'San Antonio Spurs' OR team_name_away = 'San Antonio Spurs') AND min > 240 AND season_id = '22016';	5	game	game	game
What's the highest number of points the Brooklyn Nets scored in the paint in any game during the 2020 season?	SELECT MAX(pts_paint) AS max_paint_points FROM (     SELECT o.pts_paint_home AS pts_paint     FROM game g     JOIN other_stats o ON g.game_id = o.game_id     WHERE g.team_name_home = 'Brooklyn Nets'     AND g.season_id = '22020'          UNION ALL          SELECT o.pts_paint_away AS pts_paint     FROM game g     JOIN other_stats o ON g.game_id = o.game_id     WHERE g.team_name_away = 'Brooklyn Nets'     AND g.season_id = '22020' );	74	(     SELECT o.pts_paint_home AS pts_paint     FROM game g     JOIN other_stats o ON g.game_id = o.game_id	game	game
What was the average number of offensive rebounds per game for the Chicago Bulls in the 2019 season?	SELECT AVG(oreb) AS avg_offensive_rebounds FROM (     SELECT game_id, oreb_home AS oreb     FROM game     WHERE team_name_home = 'Chicago Bulls'     AND season_id = '22019'          UNION ALL          SELECT game_id, oreb_away AS oreb     FROM game     WHERE team_name_away = 'Chicago Bulls'     AND season_id = '22019' );	10.46153846	(     SELECT game_id, oreb_home AS oreb     FROM game	game	game
Which team had the fewest turnovers in the 2018 season on average?	SELECT team_name, AVG(turnovers) AS avg_turnovers FROM (     SELECT team_name_home AS team_name, tov_home AS turnovers     FROM game     WHERE season_id = '22018'          UNION ALL          SELECT team_name_away AS team_name, tov_away AS turnovers     FROM game     WHERE season_id = '22018' ) GROUP BY team_name ORDER BY avg_turnovers ASC LIMIT 1;	San Antonio Spurs | 12.0975609756098	(     SELECT team_name_home AS team_name, tov_home AS turnovers     FROM game	game	game
How many games did the Oklahoma City Thunder score more than 30 points in the first quarter during the 2017 season?	SELECT COUNT(*) AS high_scoring_first_quarters FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE (g.team_name_home = 'Oklahoma City Thunder' AND g.pts_home / 4 > 30) OR (g.team_name_away = 'Oklahoma City Thunder' AND g.pts_away / 4 > 30) AND g.season_id = '22017';	83	game g JOIN other_stats o ON g.game_id = o.game_id	game	game
What was the field goal percentage for the Toronto Raptors in their championship season of 2019?	SELECT AVG(fg_pct) AS avg_fg_percentage FROM (     SELECT game_id, fg_pct_home AS fg_pct     FROM game     WHERE team_name_home = 'Toronto Raptors'     AND season_id = '22019'          UNION ALL          SELECT game_id, fg_pct_away AS fg_pct     FROM game     WHERE team_name_away = 'Toronto Raptors'     AND season_id = '22019' );	0.4587083333	(     SELECT game_id, fg_pct_home AS fg_pct     FROM game	game	game
 How many times did the Golden State Warriors score more than 120 points but still lose the game?	SELECT COUNT(*) AS high_scoring_losses FROM game WHERE ((team_name_home = 'Golden State Warriors' AND pts_home > 120 AND wl_home = 'L') OR (team_name_away = 'Golden State Warriors' AND pts_away > 120 AND wl_away = 'L'));	123	game	game	game
Which team had the most assists in a game where they also had fewer than 10 turnovers during the 2021 season?	SELECT team_name, assists, turnovers, game_date FROM (     SELECT          team_name_home AS team_name,          ast_home AS assists,          tov_home AS turnovers,         game_date     FROM game     WHERE season_id = '22021'     AND tov_home < 10          UNION ALL          SELECT          team_name_away AS team_name,          ast_away AS assists,          tov_away AS turnovers,         game_date     FROM game     WHERE season_id = '22021'     AND tov_away < 10 ) ORDER BY assists DESC LIMIT 1;	Phoenix Suns | 40.0 | 7.0 | 2022-02-12 00:00:00	(     SELECT          team_name_home AS team_name,          ast_home AS assists,          tov_home AS turnovers,         game_date     FROM game	game	game
What was the largest comeback (overcoming a deficit) made by the Cleveland Cavaliers in the 2016 season?	SELECT      CASE          WHEN g.team_name_home = 'Cleveland Cavaliers' THEN largest_lead_away         ELSE largest_lead_home     END AS opponent_largest_lead,     g.game_date,     CASE         WHEN g.team_name_home = 'Cleveland Cavaliers' THEN g.team_name_away         ELSE g.team_name_home     END AS opponent FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE (g.team_name_home = 'Cleveland Cavaliers' AND g.wl_home = 'W') OR (g.team_name_away = 'Cleveland Cavaliers' AND g.wl_away = 'W') AND g.season_id = '22016' ORDER BY opponent_largest_lead DESC LIMIT 1;	49 | 2010-03-01 00:00:00 | New York Knicks	game g JOIN other_stats o ON g.game_id = o.game_id	game	game
What is the average number of points scored by the Portland Trail Blazers in games where they had at least 15 second-chance points?	SELECT AVG(pts) AS avg_points FROM (     SELECT g.pts_home AS pts     FROM game g     JOIN other_stats o ON g.game_id = o.game_id     WHERE g.team_name_home = 'Portland Trail Blazers'     AND o.pts_2nd_chance_home >= 15          UNION ALL          SELECT g.pts_away AS pts     FROM game g     JOIN other_stats o ON g.game_id = o.game_id     WHERE g.team_name_away = 'Portland Trail Blazers'     AND o.pts_2nd_chance_away >= 15 );	102.9899497	(     SELECT g.pts_home AS pts     FROM game g     JOIN other_stats o ON g.game_id = o.game_id	game	game
Which team scored the most second-chance points in a game during the 2019 season?	SELECT      CASE          WHEN o.pts_2nd_chance_home > o.pts_2nd_chance_away THEN g.team_name_home         ELSE g.team_name_away     END AS team_name,     CASE          WHEN o.pts_2nd_chance_home > o.pts_2nd_chance_away THEN o.pts_2nd_chance_home         ELSE o.pts_2nd_chance_away     END AS second_chance_points,     g.game_date FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE g.season_id = '22019' ORDER BY second_chance_points DESC LIMIT 1;	Minnesota Timberwolves | 35 | 2019-11-08 00:00:00	game g JOIN other_stats o ON g.game_id = o.game_id	game	game
How many games did the Detroit Pistons win when they scored fewer points in the paint than their opponents?	SELECT COUNT(*) AS wins_with_fewer_paint_points FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE ((g.team_name_home = 'Detroit Pistons' AND g.wl_home = 'W' AND o.pts_paint_home < o.pts_paint_away) OR (g.team_name_away = 'Detroit Pistons' AND g.wl_away = 'W' AND o.pts_paint_away < o.pts_paint_home));	431	game g JOIN other_stats o ON g.game_id = o.game_id	game	game
What's the highest number of blocks recorded by the New York Knicks in any game?	SELECT MAX(blocks) AS max_blocks FROM (     SELECT blk_home AS blocks     FROM game     WHERE team_name_home = 'New York Knicks'          UNION ALL          SELECT blk_away AS blocks     FROM game     WHERE team_name_away = 'New York Knicks' );	15	(     SELECT blk_home AS blocks     FROM game	game	game
How many games in the 2018 season had more than 15 lead changes and more than 10 ties?	SELECT COUNT(*) AS competitive_games FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE g.season_id = '22018' AND o.lead_changes > 15 AND o.times_tied > 10;	54	game g JOIN other_stats o ON g.game_id = o.game_id	game	game
What was the average free throw percentage for the Indiana Pacers in games where they attempted at least 25 free throws?	SELECT AVG(ft_pct) AS avg_ft_percentage FROM (     SELECT ft_pct_home AS ft_pct     FROM game     WHERE team_name_home = 'Indiana Pacers'     AND fta_home >= 25          UNION ALL          SELECT ft_pct_away AS ft_pct     FROM game     WHERE team_name_away = 'Indiana Pacers'     AND fta_away >= 25 );	0.7685965404	(     SELECT ft_pct_home AS ft_pct     FROM game	game	game
What was the average margin of victory in games between the Boston Celtics and New York Knicks?	SELECT AVG(ABS(plus_minus_home)) AS avg_victory_margin FROM game WHERE (team_name_home = 'Boston Celtics' AND team_name_away = 'New York Knicks') OR (team_name_home = 'New York Knicks' AND team_name_away = 'Boston Celtics');	11.05436893	game	game	game
Which team had the most points off turnovers in a single game during the 2020 season?	SELECT      CASE          WHEN o.pts_off_to_home > o.pts_off_to_away THEN g.team_name_home         ELSE g.team_name_away     END AS team_name,     CASE          WHEN o.pts_off_to_home > o.pts_off_to_away THEN o.pts_off_to_home         ELSE o.pts_off_to_away     END AS points_off_turnovers,     g.game_date FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE g.season_id = '22020' ORDER BY points_off_turnovers DESC LIMIT 1;	Denver Nuggets | 39 | 2021-04-19 00:00:00	game g JOIN other_stats o ON g.game_id = o.game_id	game	game
How many games did the Orlando Magic play in the 2010 season where both teams scored more than 100 points?	SELECT COUNT(*) AS high_scoring_games FROM game WHERE (team_name_home = 'Orlando Magic' OR team_name_away = 'Orlando Magic') AND pts_home > 100 AND pts_away > 100 AND season_id = '22010';	14	game	game	game
What's the average number of fastbreak points scored by winning teams in the 2021 season?	SELECT AVG(fastbreak_points) AS avg_fb_points_winners FROM (     SELECT o.pts_fb_home AS fastbreak_points     FROM game g     JOIN other_stats o ON g.game_id = o.game_id     WHERE g.wl_home = 'W'     AND g.season_id = '22021'          UNION ALL          SELECT o.pts_fb_away AS fastbreak_points     FROM game g     JOIN other_stats o ON g.game_id = o.game_id     WHERE g.wl_away = 'W'     AND g.season_id = '22021' );	12.45038168	(     SELECT o.pts_fb_home AS fastbreak_points     FROM game g     JOIN other_stats o ON g.game_id = o.game_id	game	game
What is the total number of points scored by the Houston Rockets in games where they made more than 15 three-pointers?	SELECT SUM(points) AS total_points  FROM (     SELECT pts_home AS points      FROM game      WHERE team_name_home = 'Houston Rockets' AND fg3m_home > 15      UNION ALL      SELECT pts_away AS points      FROM game      WHERE team_name_away = 'Houston Rockets' AND fg3m_away > 15 ) AS combined_games	32793	(     SELECT pts_home AS points      FROM game	game	game
How many total rebounds did the Milwaukee Bucks get in games where they scored at least 110 points?	SELECT SUM(rebounds) AS total_rebounds  FROM (     SELECT reb_home AS rebounds      FROM game      WHERE team_name_home = 'Milwaukee Bucks' AND pts_home >= 110      UNION ALL      SELECT reb_away AS rebounds      FROM game      WHERE team_name_away = 'Milwaukee Bucks' AND pts_away >= 110 ) AS combined_games	48323	(     SELECT reb_home AS rebounds      FROM game	game	game
What is the average number of assists per game for the Golden State Warriors when they won during the 2018 season?	SELECT AVG(assists) AS avg_assists  FROM (     SELECT ast_home AS assists      FROM game      WHERE team_name_home = 'Golden State Warriors' AND wl_home = 'W' AND season_id = '22018'      UNION ALL      SELECT ast_away AS assists      FROM game      WHERE team_name_away = 'Golden State Warriors' AND wl_away = 'W' AND season_id = '22018' ) AS winning_games	31	(     SELECT ast_home AS assists      FROM game	game	game
What is the highest number of steals the Toronto Raptors recorded in a single game during the 2019 season?	SELECT MAX(steals) AS max_steals  FROM (     SELECT stl_home AS steals      FROM game      WHERE team_name_home = 'Toronto Raptors' AND season_id = '22019'      UNION ALL      SELECT stl_away AS steals      FROM game      WHERE team_name_away = 'Toronto Raptors' AND season_id = '22019' ) AS all_games	17	(     SELECT stl_home AS steals      FROM game	game	game
How many games did the Los Angeles Lakers play where they had more than 25 assists and won?	SELECT COUNT(*) AS total_games  FROM (     SELECT game_id      FROM game      WHERE team_name_home = 'Los Angeles Lakers' AND ast_home > 25 AND wl_home = 'W'      UNION ALL      SELECT game_id      FROM game      WHERE team_name_away = 'Los Angeles Lakers' AND ast_away > 25 AND wl_away = 'W' ) AS winning_games_with_assists	1159	(     SELECT game_id      FROM game	game	game
What is the average shooting percentage of the Philadelphia 76ers in games where they scored at least 100 points during the 2019 season?	SELECT AVG(fg_pct) AS avg_shooting_percentage  FROM (     SELECT fg_pct_home AS fg_pct      FROM game      WHERE team_name_home = 'Philadelphia 76ers' AND pts_home >= 100 AND season_id = '22019'      UNION ALL      SELECT fg_pct_away AS fg_pct      FROM game      WHERE team_name_away = 'Philadelphia 76ers' AND pts_away >= 100 AND season_id = '22019' ) AS high_scoring_games	0.4846785714	(     SELECT fg_pct_home AS fg_pct      FROM game	game	game
How many total blocks did the Brooklyn Nets record in games where they had more than 10 turnovers?	SELECT SUM(blocks) AS total_blocks  FROM (     SELECT blk_home AS blocks      FROM game      WHERE team_name_home = 'Brooklyn Nets' AND tov_home > 10      UNION ALL      SELECT blk_away AS blocks      FROM game      WHERE team_name_away = 'Brooklyn Nets' AND tov_away > 10 ) AS turnover_games	3570	(     SELECT blk_home AS blocks      FROM game	game	game
Which team had the highest field goal percentage in the 1996 season?	SELECT team_name, AVG(fg_pct) AS avg_fg_pct FROM (     SELECT team_name_home AS team_name, fg_pct_home AS fg_pct     FROM game     WHERE season_id = '21996'     UNION ALL     SELECT team_name_away AS team_name, fg_pct_away AS fg_pct     FROM game     WHERE season_id = '21996' ) AS all_teams GROUP BY team_name ORDER BY avg_fg_pct DESC LIMIT 1	Utah Jazz | 0.505182926829268	(     SELECT team_name_home AS team_name, fg_pct_home AS fg_pct     FROM game	game	game
How many games did the Chicago Bulls win during their 1992 championship season?	SELECT COUNT(*) AS total_wins FROM (     SELECT game_id     FROM game     WHERE team_name_home = 'Chicago Bulls' AND wl_home = 'W' AND season_id = '21992'     UNION ALL     SELECT game_id     FROM game     WHERE team_name_away = 'Chicago Bulls' AND wl_away = 'W' AND season_id = '21992' ) AS winning_games	57	(     SELECT game_id     FROM game	game	game
What was the average number of rebounds per game for the Detroit Pistons in 1989?	SELECT AVG(rebounds) AS avg_rebounds FROM (     SELECT reb_home AS rebounds     FROM game     WHERE team_name_home = 'Detroit Pistons' AND season_id = '21989'     UNION ALL     SELECT reb_away AS rebounds     FROM game     WHERE team_name_away = 'Detroit Pistons' AND season_id = '21989' ) AS all_games	44.42682927	(     SELECT reb_home AS rebounds     FROM game	game	game
Which team had the most steals in the 2004 season?	SELECT team_name, SUM(steals) AS total_steals FROM (     SELECT team_name_home AS team_name, stl_home AS steals     FROM game     WHERE season_id = '22004'     UNION ALL     SELECT team_name_away AS team_name, stl_away AS steals     FROM game     WHERE season_id = '22004' ) AS all_teams GROUP BY team_name ORDER BY total_steals DESC LIMIT 1	Philadelphia 76ers | 756.0 	(     SELECT team_name_home AS team_name, stl_home AS steals     FROM game	game	game
How many times did the Boston Celtics and Los Angeles Lakers play against each other from 1980 to 1989?	SELECT COUNT(*) AS total_matchups FROM game WHERE ((team_name_home = 'Boston Celtics' AND team_name_away = 'Los Angeles Lakers')     OR (team_name_home = 'Los Angeles Lakers' AND team_name_away = 'Boston Celtics')) AND CAST(SUBSTR(season_id, 2) AS INTEGER) BETWEEN 1980 AND 1989	39	game	game	game
What was the total number of points scored by the San Antonio Spurs in the 2014 season?	SELECT SUM(points) AS total_points FROM (     SELECT pts_home AS points     FROM game     WHERE team_name_home = 'San Antonio Spurs'     AND season_id = '22014'      UNION ALL     SELECT pts_away AS points     FROM game     WHERE team_name_away = 'San Antonio Spurs'     AND season_id = '22014' ) AS season_games	8461	(     SELECT pts_home AS points     FROM game	game	game
What team had the best free throw percentage in the 2001 regular season?	SELECT team_name, AVG(ft_pct) AS avg_ft_pct FROM (     SELECT team_name_home AS team_name, ft_pct_home AS ft_pct     FROM game     WHERE season_id = '22001' AND season_type = 'Regular Season'     UNION ALL     SELECT team_name_away AS team_name, ft_pct_away AS ft_pct     FROM game     WHERE season_id = '22001' AND season_type = 'Regular Season' ) AS all_teams GROUP BY team_name ORDER BY avg_ft_pct DESC LIMIT 1	Dallas Mavericks | 0.804768292682927	(     SELECT team_name_home AS team_name, ft_pct_home AS ft_pct     FROM game	game	game
Which team had the best home record in the 2010 season?	SELECT      team_name_home AS team FROM game WHERE season_id = '22010' GROUP BY team_name_home ORDER BY CAST(SUM(CASE WHEN wl_home = 'W' THEN 1 ELSE 0 END) AS FLOAT) / COUNT(*) DESC LIMIT 1	San Antonio Spurs | 36 | 5 | 0.878048780487805 	game	game	game
What was the average margin of victory for the Miami Heat during the 2013 NBA season? 	SELECT AVG(victory_margin) AS avg_victory_margin FROM (     SELECT plus_minus_home AS victory_margin     FROM game     WHERE team_name_home = 'Miami Heat'      AND wl_home = 'W'      AND season_id = '22013'     UNION ALL     SELECT plus_minus_away AS victory_margin     FROM game     WHERE team_name_away = 'Miami Heat'      AND wl_away = 'W'      AND season_id = '22013' ) AS victories	11.48148148	(     SELECT plus_minus_home AS victory_margin     FROM game	game	game
Which team had the most second-chance points in the 2015 season?	SELECT team_name, SUM(second_chance_pts) AS total_second_chance_pts FROM (     SELECT g.team_name_home AS team_name, os.pts_2nd_chance_home AS second_chance_pts     FROM game g     JOIN other_stats os ON g.game_id = os.game_id     WHERE g.season_id = '22015'     UNION ALL     SELECT g.team_name_away AS team_name, os.pts_2nd_chance_away AS second_chance_pts     FROM game g     JOIN other_stats os ON g.game_id = os.game_id     WHERE g.season_id = '22015' ) AS all_teams GROUP BY team_name ORDER BY total_second_chance_pts DESC LIMIT 1	Houston Rockets | 1085 	(     SELECT g.team_name_home AS team_name, os.pts_2nd_chance_home AS second_chance_pts     FROM game g     JOIN other_stats os ON g.game_id = os.game_id	game	game
What is the all-time head-to-head record between the Los Angeles Lakers and Boston Celtics?	SELECT     SUM(CASE WHEN          (team_name_home = 'Los Angeles Lakers' AND wl_home = 'W') OR          (team_name_away = 'Los Angeles Lakers' AND wl_away = 'W')      THEN 1 ELSE 0 END) AS lakers_wins,     SUM(CASE WHEN          (team_name_home = 'Boston Celtics' AND wl_home = 'W') OR          (team_name_away = 'Boston Celtics' AND wl_away = 'W')      THEN 1 ELSE 0 END) AS celtics_wins FROM game WHERE (team_name_home = 'Los Angeles Lakers' AND team_name_away = 'Boston Celtics')    OR (team_name_home = 'Boston Celtics' AND team_name_away = 'Los Angeles Lakers')	110 | 113	game	game	game
How many games in NBA history have gone to overtime?	SELECT COUNT(*) AS overtime_games FROM game WHERE min > 240	3414	game	game	game
What team had the most turnovers in a single game during the 2019 season?	SELECT      CASE          WHEN tov_home > tov_away THEN team_name_home         ELSE team_name_away     END AS team_with_most_turnovers FROM game WHERE season_id = '22019' ORDER BY CASE      WHEN tov_home > tov_away THEN tov_home     ELSE tov_away END DESC LIMIT 1	Sacramento Kings	game	game	game
