natural_query	sql_query	result
What is the average number of points off turnovers for away teams with fewer than 10 total turnovers?	SELECT AVG(pts_off_to_away) FROM other_stats WHERE total_turnovers_away < 10;	8.900039200313602
Which game had the highest total of missed free throws by the away team?	SELECT game_id FROM game ORDER BY (fta_away - ftm_away) DESC LIMIT 1;	0027300014
What is the average number of three-pointers made by away teams in games where they had more turnovers than assists?	SELECT AVG(fg3m_away) FROM game WHERE tov_away > ast_away;	4.511052937754508
Which game had the most defensive rebounds by an away team that still lost?	SELECT game_id FROM game WHERE wl_away = 'L' ORDER BY dreb_away DESC LIMIT 1;	0028500331
What is the highest plus-minus recorded by an away team with fewer than 10 personal fouls?	SELECT MAX(plus_minus_away) FROM game WHERE pf_away < 10;	35
Which game had the most field goals made by a home team that shot under 40% from the field?	SELECT game_id FROM game WHERE fg_pct_home < 0.4 ORDER BY fgm_home DESC LIMIT 1;	0025900164
Which home team attempted the most three-pointers in a game they lost?	SELECT team_name_home FROM game WHERE wl_home = 'L' ORDER BY fg3a_home DESC LIMIT 1;	Team Giannis
What is the average number of free throws made in games where the home team had zero offensive rebounds?	SELECT AVG(ftm_home) FROM game WHERE oreb_home = 0;	10.0
Which game had the highest number of steals by a home team that still lost?	SELECT game_id FROM game WHERE wl_home = 'L' ORDER BY stl_home DESC LIMIT 1;	0028400118
Which home team committed the most turnovers in a game they won?	SELECT team_name_home FROM game WHERE wl_home = 'W' ORDER BY tov_home DESC LIMIT 1;	Los Angeles Lakers
Which game had the highest plus-minus for a home team that attempted fewer than 10 three-pointers?	SELECT game_id FROM game WHERE fg3a_home < 10 ORDER BY plus_minus_home DESC LIMIT 1;	0029100021
Which matchup featured the home team with the lowest field goal percentage but still won?	SELECT matchup_home FROM game WHERE wl_home = 'W' ORDER BY fg_pct_home ASC LIMIT 1;	PRO vs. BOS
What is the average number of assists for home teams when playing against teams from Texas?	SELECT AVG(ast_home) FROM game WHERE team_abbreviation_away IN ('DAL', 'HOU', 'SAS');	23.22644697929869
Which game had the smallest difference between offensive and defensive rebounds for the home team?	SELECT game_id FROM game ORDER BY ABS(oreb_home - dreb_home) ASC LIMIT 1;	0024600001
Which home team scored the most points in a game where they had more turnovers than assists?	SELECT team_name_home FROM game WHERE tov_home > ast_home ORDER BY pts_home DESC LIMIT 1;	Seattle SuperSonics
Which matchup involved the home team attempting over 100 field goals?	SELECT matchup_home FROM game WHERE fga_home > 100 LIMIT 1;	BOM vs. NYK
What is the total number of points scored by home teams in games where they committed fewer than 5 personal fouls?	SELECT SUM(pts_home) FROM game WHERE pf_home < 5;	849.0
Which home team had the lowest field goal percentage in a game they still won?	SELECT team_name_home FROM game WHERE wl_home = 'W' ORDER BY fg_pct_home ASC LIMIT 1;	Providence Steamrollers
What is the average number of minutes played in home games with more than 15 steals?	SELECT AVG(min) FROM game WHERE stl_home > 15;	242.13254593175853
Which game had the highest number of free throw attempts by a home team that didn’t attempt any three-pointers?	SELECT game_id FROM game WHERE fg3a_home = 0 ORDER BY fta_home DESC LIMIT 1;	0028700044
Which matchup had the highest combined field goal attempts between home and away teams?	SELECT matchup_home FROM game ORDER BY (fga_home + fga_away) DESC LIMIT 1;	PHW vs. STL
What is the average plus-minus for home teams that made more three-pointers than two-pointers?	SELECT AVG(plus_minus_home) FROM game WHERE fg3m_home > (fgm_home - fg3m_home);	5.007518796992481
Which home team won a game with the fewest minutes recorded?	SELECT team_name_home FROM game WHERE wl_home = 'W' ORDER BY min ASC LIMIT 1;	St. Louis Bombers
Which game had the highest number of personal fouls committed by the home team where no video was available?	SELECT game_id FROM game WHERE video_available_home = 0 ORDER BY pf_home DESC LIMIT 1;	0046300222
What is the average number of three-pointers attempted by home teams that lost by more than 20 points?	SELECT AVG(fg3a_home) FROM game WHERE wl_home = 'L' AND plus_minus_home < -20;	19.36683997689197
Which home team had the highest shooting percentage in a game where they made fewer than 20 field goals?	SELECT team_name_home FROM game WHERE fgm_home < 20 ORDER BY fg_pct_home DESC LIMIT 1;	Boston Celtics
What is the highest number of defensive rebounds recorded by a home team that didn’t make a single three-pointer?	SELECT MAX(dreb_home) FROM game WHERE fg3m_home = 0;	50.0
Which matchup had the most field goals made by the home team in a loss?	SELECT matchup_home FROM game WHERE wl_home = 'L' ORDER BY fgm_home DESC LIMIT 1;	LBN vs. GNS
Which team was founded first?	SELECT full_name FROM team ORDER BY year_founded ASC LIMIT 1;	Boston Celtics
Which team is based in the city of Chicago?	SELECT full_name FROM team WHERE city = 'Chicago';	Chicago Bulls
What is the abbreviation of the team nicknamed 'Heat'?	SELECT abbreviation FROM team WHERE nickname = 'Heat';	MIA
Which teams are located in the state of California?	SELECT full_name FROM team WHERE state = 'California';	Golden State Warriors, Los Angeles Clippers, Los Angeles Lakers, Sacramento Kings
Which team has the abbreviation 'NYK'?	SELECT full_name FROM team WHERE abbreviation = 'NYK';	New York Knicks
Which teams were founded after the year 2000?	SELECT full_name FROM team WHERE year_founded > 2000;	New Orleans Pelicans
What is the city of the team with the nickname 'Bulls'?	SELECT city FROM team WHERE nickname = 'Bulls';	Chicago
List all teams founded before 1970.	SELECT full_name FROM team WHERE year_founded < 1970;	Atlanta Hawks, Boston Celtics, Chicago Bulls, Golden State Warriors, Houston Rockets, Los Angeles Lakers, Milwaukee Bucks, New York Knicks, Philadelphia 76ers, Phoenix Suns, Sacramento Kings, Oklahoma City Thunder, Washington Wizards, Detroit Pistons
Which team has 'Warriors' as their nickname?	SELECT full_name FROM team WHERE nickname = 'Warriors';	Golden State Warriors
Which team abbreviation corresponds to the city of Houston?	SELECT abbreviation FROM team WHERE city = 'Houston';	HOU
What is the state of the team nicknamed 'Jazz'?	SELECT state FROM team WHERE nickname = 'Jazz';	Utah
List the full names of all teams founded in the 1980s.	SELECT full_name FROM team WHERE year_founded BETWEEN 1980 AND 1989;	Dallas Mavericks, Miami Heat, Minnesota Timberwolves, Orlando Magic, Charlotte Hornets
Which team has the same nickname as the team located in Charlotte?	SELECT nickname FROM team WHERE city = 'Charlotte';	Hornets
List the cities of all teams founded before 1965.	SELECT city FROM team WHERE year_founded < 1965;	Atlanta, Boston, Golden State, Los Angeles, New York, Philadelphia, Sacramento, Washington, Detroit
What is the full name of the team based in Dallas?	SELECT full_name FROM team WHERE city = 'Dallas';	Dallas Mavericks
Which team has a nickname starting with the letter 'S'?	SELECT full_name FROM team WHERE nickname LIKE 'S%';	Phoenix Suns, San Antonio Spurs
List all team abbreviations for teams founded in the 1990s.	SELECT abbreviation FROM team WHERE year_founded BETWEEN 1990 AND 1999;	TOR, MEM
What is the full name of the team with the abbreviation 'PHI'?	SELECT full_name FROM team WHERE abbreviation = 'PHI';	Philadelphia 76ers
List all teams based in Texas.	SELECT full_name FROM team WHERE state = 'Texas';	Dallas Mavericks, Houston Rockets, San Antonio Spurs
Which team has the nickname 'Celtics'?	SELECT full_name FROM team WHERE nickname = 'Celtics';	Boston Celtics
Which team was founded most recently?	SELECT full_name FROM team ORDER BY year_founded DESC LIMIT 1;	New Orleans Pelicans
What are the nicknames of teams based in Florida?	SELECT nickname FROM team WHERE state = 'Florida';	Heat, Magic
List all teams located in New York.	SELECT full_name FROM team WHERE state = 'New York';	Brooklyn Nets, New York Knicks
What is the year the team nicknamed 'Nuggets' was founded?	SELECT year_founded FROM team WHERE nickname = 'Nuggets';	1976.0
Which team abbreviation belongs to the team based in Phoenix?	SELECT abbreviation FROM team WHERE city = 'Phoenix';	PHX
What is the nickname of the team founded in 1946?	SELECT nickname FROM team WHERE year_founded = 1946;	Celtics, Warriors, Knicks
What is the most points the Golden State Warriors have scored at home?	SELECT MAX(pts_home) FROM game WHERE team_name_home = 'Golden State Warriors';	155.0
What is the average number of assists by the Los Angeles Lakers in home wins?	SELECT AVG(ast_home) FROM game WHERE team_abbreviation_home = 'LAL' AND wl_home = 'W';	27.456207159177456
How many times did the Los Angeles Lakers score over 120 points at home?	SELECT COUNT(*) FROM game WHERE team_abbreviation_home = 'LAL' AND pts_home > 120;	581
What is the highest three-point percentage the Los Angeles Lakers achieved in an away game?	SELECT MAX(fg3_pct_away) FROM game WHERE team_abbreviation_away = 'LAL';	1.0
Which team is located in the state of Indiana?	SELECT full_name FROM team WHERE state = 'Indiana';	Indiana Pacers
Which teams were founded before 1979?	SELECT full_name FROM team WHERE year_founded < 1979;	Atlanta Hawks, Boston Celtics, Cleveland Cavaliers, Chicago Bulls, Denver Nuggets, Golden State Warriors, Houston Rockets, Los Angeles Clippers, Los Angeles Lakers, Milwaukee Bucks, Brooklyn Nets, New York Knicks, Indiana Pacers, Philadelphia 76ers, Phoenix Suns, Portland Trail Blazers, Sacramento Kings, San Antonio Spurs, Oklahoma City Thunder, Utah Jazz, Washington Wizards, Detroit Pistons
In what year was the Indiana Pacers founded?	SELECT year_founded FROM team WHERE full_name = 'Indiana Pacers';	1976.0
What team has the abbreviation 'IND'?	SELECT full_name FROM team WHERE abbreviation = 'IND';	Indiana Pacers
Which team is located in the state of Minnesota?	SELECT full_name FROM team WHERE state = 'Minnesota';	Minnesota Timberwolves
What is the nickname of the team based in Detroit?	SELECT nickname FROM team WHERE city = 'Detroit';	Pistons
List the nicknames of teams based in cities that start with the letter 'C'.	SELECT nickname FROM team WHERE city LIKE 'C%';	Cavaliers, Bulls, Hornets
Which team located in Chicago has a nickname that starts with the letter 'B'?	SELECT full_name FROM team WHERE city = 'Chicago' AND nickname LIKE 'B%';	Chicago Bulls
Which team located in Cleveland has an abbreviation that includes the letter 'C'?	SELECT full_name FROM team WHERE city = 'Cleveland' AND abbreviation LIKE '%C%';	Cleveland Cavaliers
What is the year the Milwaukee team was founded?	SELECT year_founded FROM team WHERE city = 'Milwaukee';	1968.0
Which cities host teams with abbreviations that start with 'C'?	SELECT city FROM team WHERE abbreviation LIKE 'C%';	Cleveland, Chicago, Charlotte
List all team abbreviations from teams located in Ohio or Michigan.	SELECT abbreviation FROM team WHERE state IN ('Ohio', 'Michigan');	CLE, DET
Which team based in Indiana was founded before 1980?	SELECT full_name FROM team WHERE state = 'Indiana' AND year_founded < 1980;	Indiana Pacers
What is the average number of tov in away games by the Orlando Magic?	SELECT AVG(tov_away) FROM game WHERE team_name_away = 'Orlando Magic';	14.969909027291813
What is the average number of tov in away games by the Boston Celtics?	SELECT AVG(tov_away) FROM game WHERE team_name_away = 'Boston Celtics';	15.176572417772649
What is the average number of ast in home games by the Boston Celtics?	SELECT AVG(ast_home) FROM game WHERE team_name_home = 'Boston Celtics';	24.886892177589857
What is the average number of pts in away games by the Portland Trail Blazers?	SELECT AVG(pts_away) FROM game WHERE team_name_away = 'Portland Trail Blazers';	102.6668215613383
What is the average number of ft_pct in home games by the Portland Trail Blazers?	SELECT AVG(ft_pct_home) FROM game WHERE team_name_home = 'Portland Trail Blazers';	0.7597613053613043
What is the average number of ft_pct in away games by the Portland Trail Blazers?	SELECT AVG(ft_pct_away) FROM game WHERE team_name_away = 'Portland Trail Blazers';	0.7524065985130116
What is the average number of reb in home games by the Portland Trail Blazers?	SELECT AVG(reb_home) FROM game WHERE team_name_home = 'Miami Heat';	42.2
What is the average number of tov in away games by the Portland Trail Blazers?	SELECT AVG(tov_away) FROM game WHERE team_name_away = 'Portland Trail Blazers';	15.146252285191956
What is the average number of pts in away games by the Golden State Warriors?	SELECT AVG(pts_away) FROM game WHERE team_name_away = 'Golden State Warriors';	105.09242916860195
What is the average number of reb in home games by the Orlando Magic?	SELECT AVG(reb_home) FROM game WHERE team_name_home = 'Orlando Magic';	43.46391030133147
What is the average number of ast in away games by the Portland Trail Blazers?	SELECT AVG(ast_away) FROM game WHERE team_name_away = 'Portland Trail Blazers';	21.94177501413228
How many away games did the Chicago Bulls play in the 2022 season?	SELECT COUNT(*) FROM game WHERE team_name_away = 'Chicago Bulls' AND season_id = '22022';	41.0
What is the average number of fg_pct in home games by the Chicago Bulls?	SELECT AVG(fg_pct_home) FROM game WHERE team_name_home = 'Chicago Bulls';	0.4636694306246544
What is the average number of ft_pct in home games by the Los Angeles Lakers?	SELECT AVG(ft_pct_home) FROM game WHERE team_name_home = 'Los Angeles Lakers';	0.7450706106870195
How many away games did the Miami Heat play in the 1999 season?	SELECT COUNT(*) FROM game WHERE team_name_away = 'Miami Heat' AND season_id = '21999';	41.0
How many away games did the Miami Heat play in the 2022 season?	SELECT COUNT(*) FROM game WHERE team_name_away = 'Miami Heat' AND season_id = '22022';	41.0
What is the average number of pts in away games by the Boston Celtics?	SELECT AVG(pts_away) FROM game WHERE team_name_away = 'Boston Celtics';	102.25170288679855
What is the average number of fg_pct in home games by the Boston Celtics?	SELECT AVG(fg_pct_home) FROM game WHERE team_name_home = 'Boston Celtics';	0.4737531578947367
How many away games did the Chicago Bulls play in the 2018 season?	SELECT COUNT(*) FROM game WHERE team_name_away = 'Chicago Bulls' AND season_id = '22018';	41.0
What is the average number of fg_pct in home games by the Golden State Warriors?	SELECT AVG(fg_pct_home) FROM game WHERE team_name_home = 'Golden State Warriors';	0.4726067351598173
How many away games did the Miami Heat play in the 2020 season?	SELECT COUNT(*) FROM game WHERE team_name_away = 'Miami Heat' AND season_id = '22020';	36.0
What is the average number of tov in home games by the Miami Heat?	SELECT AVG(tov_home) FROM game WHERE team_name_home = 'Miami Heat';	14.627184466019418
What is the average number of ast in away games by the Los Angeles Lakers?	SELECT AVG(ast_away) FROM game WHERE team_name_away = 'Los Angeles Lakers';	22.594638949671772
What is the average number of ft_pct in home games by the Milwaukee Bucks?	SELECT AVG(ft_pct_home) FROM game WHERE team_name_home = 'Milwaukee Bucks';	0.7571402574345323
What is the average number of pts in home games by the Los Angeles Lakers?	SELECT AVG(pts_home) FROM game WHERE team_name_home = 'Los Angeles Lakers';	109.71476888387824
What is the average number of pts in home games by the Houston Rockets?	SELECT AVG(pts_home) FROM game WHERE team_name_home = 'Houston Rockets';	105.8650391524643
What is the average number of fg_pct in away games by the Los Angeles Lakers?	SELECT AVG(fg_pct_away) FROM game WHERE team_name_away = 'Los Angeles Lakers';	0.4678996728462382
What is the average number of ft_pct in home games by the Miami Heat?	SELECT AVG(ft_pct_home) FROM game WHERE team_name_home = 'Miami Heat';	0.7464038834951452
What is the average number of ft_pct in home games by the Golden State Warriors?	SELECT AVG(ft_pct_home) FROM game WHERE team_name_home = 'Golden State Warriors';	0.7540829836829825
What is the average number of tov in home games by the Charlotte Hornets?	SELECT AVG(tov_home) FROM game WHERE team_name_home = 'Charlotte Hornets';	14.0927291886196
What is the average number of ast in away games by the Golden State Warriors?	SELECT AVG(ast_away) FROM game WHERE team_name_away = 'Golden State Warriors';	22.833996588971008
What is the average number of ft_pct in away games by the Miami Heat?	SELECT AVG(ft_pct_away) FROM game WHERE team_name_away = 'Miami Heat';	0.7408833551769328
What is the average number of reb in home games by the Golden State Warriors?	SELECT AVG(reb_home) FROM game WHERE team_name_home = 'Golden State Warriors';	44.818285714285715
What is the average number of pts in away games by the Milwaukee Bucks?	SELECT AVG(pts_away) FROM game WHERE team_name_away = 'Milwaukee Bucks';	102.9162605228179
What is the average number of tov in away games by the Los Angeles Lakers?	SELECT AVG(tov_away) FROM game WHERE team_name_away = 'Los Angeles Lakers';	14.554896142433234
What is the average number of ast in home games by the Chicago Bulls?	SELECT AVG(ast_home) FROM game WHERE team_name_home = 'Chicago Bulls';	24.980609418282548
What is the average number of pts in away games by the Miami Heat?	SELECT AVG(pts_away) FROM game WHERE team_name_away = 'Miami Heat';	96.7824377457405
What is the average number of tov in away games by the Miami Heat?	SELECT AVG(tov_away) FROM game WHERE team_name_away = 'Miami Heat';	15.235255570117957
What is the average number of pts in home games by the Chicago Bulls?	SELECT AVG(pts_home) FROM game WHERE team_name_home = 'Chicago Bulls';	103.32684824902724
What is the average number of ft_pct in home games by the Charlotte Hornets?	SELECT AVG(ft_pct_home) FROM game WHERE team_name_home = 'Charlotte Hornets';	0.7601475237091683
What is the average number of tov in home games by the Boston Celtics?	SELECT AVG(tov_home) FROM game WHERE team_name_home = 'Boston Celtics';	14.788121073672189
How many away games did the Chicago Bulls play in the 2011 season?	SELECT COUNT(*) FROM game WHERE team_name_away = 'Chicago Bulls' AND season_id = '22011';	33.0
How many away games did the Miami Heat play in the 2021 season?	SELECT COUNT(*) FROM game WHERE team_name_away = 'Miami Heat' AND season_id = '22021';	41.0
What is the average number of reb in away games by the Detroit Pistons?	SELECT AVG(reb_away) FROM game WHERE team_name_away = 'Detroit Pistons';	42.10948081264108
What is the average number of reb in away games by the Milwaukee Bucks?	SELECT AVG(reb_away) FROM game WHERE team_name_away = 'Milwaukee Bucks';	41.71580122836404
What is the average number of tov in home games by the Milwaukee Bucks?	SELECT AVG(tov_home) FROM game WHERE team_name_home = 'Milwaukee Bucks';	14.664838513101769
What is the average number of ast in away games by the Milwaukee Bucks?	SELECT AVG(ast_away) FROM game WHERE team_name_away = 'Milwaukee Bucks';	22.16927374301676
How many away games did the Chicago Bulls play in the 2019 season?	SELECT COUNT(*) FROM game WHERE team_name_away = 'Chicago Bulls' AND season_id = '22019';	31.0
How many away games did the Chicago Bulls play in the 2014 season?	SELECT COUNT(*) FROM game WHERE team_name_away = 'Chicago Bulls' AND season_id = '22014';	41.0
How many away games did the Chicago Bulls play in the 2020 season?	SELECT COUNT(*) FROM game WHERE team_name_away = 'Chicago Bulls' AND season_id = '22020';	36.0
How many away games did the Chicago Bulls play in the 2001 season?	SELECT COUNT(*) FROM game WHERE team_name_away = 'Chicago Bulls' AND season_id = '22001';	41.0
What is the average number of fg_pct in away games by the Miami Heat?	SELECT AVG(fg_pct_away) FROM game WHERE team_name_away = 'Miami Heat';	0.4499279161205765
How many away games did the Chicago Bulls play in the 2002 season?	SELECT COUNT(*) FROM game WHERE team_name_away = 'Chicago Bulls' AND season_id = '22002';	41.0
What is the average number of reb in away games by the Boston Celtics?	SELECT AVG(reb_away) FROM game WHERE team_name_away = 'Boston Celtics';	42.40882509303562
What is the average number of ft_pct in away games by the Los Angeles Clippers?	SELECT AVG(ft_pct_away) FROM game WHERE team_name_away = 'Los Angeles Clippers';	0.7375894405043332
What is the average number of pts in home games by the Boston Celtics?	SELECT AVG(pts_home) FROM game WHERE team_name_home = 'Boston Celtics';	106.27848911651728
How many away games did the Miami Heat play in the 2019 season?	SELECT COUNT(*) FROM game WHERE team_name_away = 'Miami Heat' AND season_id = '22019';	37.0
How many home games did the Orlando Magic play in the 2013 season?	SELECT COUNT(*) FROM game WHERE team_name_home = 'Orlando Magic' AND season_id = '22013';	41.0
What is the average number of pts in home games by the Milwaukee Bucks?	SELECT AVG(pts_home) FROM game WHERE team_name_home = 'Milwaukee Bucks';	106.24456280514868
How many home games did the Miami Heat play in the 2019 season?	SELECT COUNT(*) FROM game WHERE team_name_home = 'Miami Heat' AND season_id = '22019';	36.0
What is the average number of pts in away games by the New York Knicks?	SELECT AVG(pts_away) FROM game WHERE team_name_away = 'New York Knicks';	99.22237288135594
What is the average number of pts in away games by the Chicago Bulls?	SELECT AVG(pts_away) FROM game WHERE team_name_away = 'Chicago Bulls';	100.94640522875817
What is the average number of fg_pct in away games by the New York Knicks?	SELECT AVG(fg_pct_away) FROM game WHERE team_name_away = 'New York Knicks';	0.4504453081621318
What is the average number of ft_pct in away games by the San Antonio Spurs?	SELECT AVG(ft_pct_away) FROM game WHERE team_name_away = 'San Antonio Spurs';	0.7538615611192923
How many home games did the Chicago Bulls play in the 2020 season?	SELECT COUNT(*) FROM game WHERE team_name_home = 'Chicago Bulls' AND season_id = '22020';	36.0
What is the average number of tov in home games by the Chicago Bulls?	SELECT AVG(tov_home) FROM game WHERE team_name_home = 'Chicago Bulls';	14.512123004139562
What is the average number of ft_pct in away games by the Chicago Bulls?	SELECT AVG(ft_pct_away) FROM game WHERE team_name_away = 'Chicago Bulls';	0.7549616557734183
What is the average number of pts in home games by the Golden State Warriors?	SELECT AVG(pts_home) FROM game WHERE team_name_home = 'Golden State Warriors';	109.409324009324
How many away games did the Miami Heat play in the 2016 season?	SELECT COUNT(*) FROM game WHERE team_name_away = 'Miami Heat' AND season_id = '22016';	41.0
How many away games did the Miami Heat play in the 2017 season?	SELECT COUNT(*) FROM game WHERE team_name_away = 'Miami Heat' AND season_id = '22017';	41.0
What is the average number of tov in away games by the Golden State Warriors?	SELECT AVG(tov_away) FROM game WHERE team_name_away = 'Golden State Warriors';	15.801587301587302
What is the average number of ast in away games by the San Antonio Spurs?	SELECT AVG(ast_away) FROM game WHERE team_name_away = 'San Antonio Spurs';	22.72059635560464
How many home games did the Miami Heat play in the 2021 season?	SELECT COUNT(*) FROM game WHERE team_name_home = 'Miami Heat' AND season_id = '22021';	41.0
How many home games did the Miami Heat play in the 2020 season?	SELECT COUNT(*) FROM game WHERE team_name_home = 'Miami Heat' AND season_id = '22020';	36.0
What is the average number of ast in home games by the Miami Heat?	SELECT AVG(ast_home) FROM game WHERE team_name_home = 'Miami Heat';	21.454368932038836
What is the average number of tov in home games by the San Antonio Spurs?	SELECT AVG(tov_home) FROM game WHERE team_name_home = 'San Antonio Spurs';	14.41725768321513
How many away games did the Miami Heat play in the 2014 season?	SELECT COUNT(*) FROM game WHERE team_name_home = 'Miami Heat' AND season_id = '22015';	41.0
What is the average number of ft_pct in away games by the Milwaukee Bucks?	SELECT AVG(ft_pct_away) FROM game WHERE team_name_away = 'Milwaukee Bucks';	0.7545688967656173
What is the average number of pts in away games by the Houston Rockets?	SELECT AVG(pts_away) FROM game WHERE team_name_away = 'Houston Rockets';	102.85476410730804
What is the average number of pts in away games by the Orlando Magic?	SELECT AVG(pts_away) FROM game WHERE team_name_away = 'Orlando Magic';	99.26172148355494
What is the average number of pts in home games by the Orlando Magic?	SELECT AVG(pts_home) FROM game WHERE team_name_home = 'Orlando Magic';	102.53608969866852
What is the average number of ft_pct in away games by the Boston Celtics?	SELECT AVG(ft_pct_away) FROM game WHERE team_name_away = 'Boston Celtics';	0.7614488017429173
How many home games did the Orlando Magic play in the 2019 season?	SELECT COUNT(*) FROM game WHERE team_name_home = 'Orlando Magic' AND season_id = '22019';	35.0
What is the average number of reb in home games by the Portland Trail Blazers?	SELECT AVG(reb_home) FROM game WHERE team_name_home = 'Portland Trail Blazers';	43.965986394557824
What is the average number of fg_pct in home games by the Los Angeles Lakers?	SELECT AVG(fg_pct_home) FROM game WHERE team_name_home = 'Los Angeles Lakers';	0.4782432016418667
What is the most points the Los Angeles Lakers have scored at home?	SELECT MAX(pts_home)  FROM game  WHERE team_name_home = 'Los Angeles Lakers';	162.0
What is the total number of assists by the Chicago Bulls at home?	SELECT SUM(ast_home) as total_assists  FROM game  WHERE team_name_home = 'Chicago Bulls';	45090.0
What is the lowest points scored by the Detroit Pistons at home?	SELECT MIN(pts_home) as min_points  FROM game  WHERE team_name_home = 'Detroit Pistons';	64.0
What is the total free throws made by the Indiana Pacers at home?	SELECT SUM(ftm_home) as total_ftm  FROM game  WHERE team_name_home = 'Indiana Pacers';	39545.0
What is the average free throw percentage for the Miami Heat away?	SELECT AVG(ft_pct_away) as avg_ft_pct  FROM game  WHERE team_name_away = 'Miami Heat';	0.74
What is the average points scored by the Toronto Raptors away?	SELECT AVG(pts_away) as avg_points  FROM game  WHERE team_name_away = 'Toronto Raptors';	99.61
What is the highest points scored by the Atlanta Hawks at home?	SELECT MAX(pts_home) as max_points  FROM game  WHERE team_name_home = 'Atlanta Hawks';	161.0
What is the total number of points scored by the Atlanta Hawks at home?	SELECT SUM(pts_home) as total_points  FROM game  WHERE team_name_home = 'Atlanta Hawks';	233546.0
What is the highest field goals made by the Chicago Bulls at home?	SELECT MAX(fgm_home) as max_fgm  FROM game  WHERE team_name_home = 'Chicago Bulls';	0.67
What is the lowest points scored by the Detroit Pistons away?	SELECT MIN(pts_away) as min_points  FROM game  WHERE team_name_away = 'Detroit Pistons';	64.0
What is the total assists by the Miami Heat at home?	SELECT SUM(ast_home) as total_assists  FROM game  WHERE team_name_home = 'Miami Heat';	33147.0
